slot_number,sim_time,VM_type,NodeID,cost/node
1,45001,"In-house server 1,","n1,",1.37503
2,89874,"In-house server 1,","n1,",4.11336
3,135004,"In-house server 3,","n1,",3.44743
4,180104,"In-house server 3,","n1,",4.13418
5,225067,"In-house server 3,","n1,",4.80854
6,227234,"Standard_NC24X,","n1,",2.02274
7,263446,"Standard_NV24X,","n1,",37.4187
8,430861,"In-house server 3,","n1,",15.3464
9,451055,"In-house server 2,","n1,",6.33853
10,561035,"In-house server 2,","n1,",39.4533
11,603408,"In-house server 2,","n1,",13.3005
