slot_number,sim_time,VM_type,NodeID,cost/node
1,44647,"In-house server 1,","n1,",1.36421
2,89634,"In-house server 1,","n1,",1.3746
3,108807,"Standard_NV24,","n1,",13.2079
4,134552,"Standard_NV12,","n1,",8.8678
5,166391,"In-house server 3,","n1,",3.89142
6,176198,"Standard_NV12,","n1,",3.37792
7,179646,"In-house server 1,","n1,",0.10536
8,224761,"In-house server 1,","n1,",1.37851
9,269698,"In-house server 3,","n1,",5.4923
10,305346,"In-house server 3,","n1,",4.35692
11,314615,"In-house server 3,","n1,",1.13293
12,345714,"Standard_NV24,","n1,",21.4238
13,359449,"Standard_NV24,","n1,",9.46188
14,364440,"Standard_NV24,","n1,",3.438
15,403913,"In-house server 3,","n1,",4.82451
16,404731,"In-house server 3,","n1,",0.099984
17,450077,"In-house server 3,","n1,",5.54229
18,495233,"In-house server 3,","n1,",1001.53
19,534161,"In-house server 3,","n1,",4.75795
20,685964,"In-house server 1,","n1,",4.6384
21,762140,"In-house server 1,","n1,",2.3276
