slot_number,sim_time,tardiness
1,11351,0
2,22666,0
3,33964,0
4,45195,0
5,56473,0
6,67649,0
7,78841,0
8,90035,0
9,101085,0
10,112414,0
11,123517,0
12,134766,0
13,146062,0
14,146272,0
15,157300,0
16,168491,0
17,179891,0
18,187133,0
19,191237,0
20,198549,0
21,202380,0
22,213758,0
23,224786,0
24,291811,0
25,300647,24791
26,303133,0
27,328891,0
28,364120,0
29,377333,0
30,395344,0
31,401809,0
32,405091,0
33,440792,0
34,451747,0
35,463561,0
36,506252,0
37,547723,0
38,563354,0
39,590029,0
40,847046,0
41,865643,0
