slot_number,sim_time,VM_type,NodeID,cost/node
1,1283,"In-house server 1,","n1,",0.0392028
2,2560,"Standard_NV6,In-house server 1,","n1,n2,",0.258947
3,3819,"Standard_NV12,In-house server 1,","n1,n2,",0.472125
4,5108,"Standard_NV12,In-house server 1,","n1,n2,",0.52276
5,6444,"In-house server 1,Standard_NV24,","n2,n1,",1.002
6,7768,"In-house server 3,Standard_NV24,","n2,n1,",1.00918
7,9121,"In-house server 3,Standard_NV24,","n2,n1,",1.03129
8,10419,"In-house server 3,Standard_NV24,","n2,n1,",0.98483
9,11713,"Standard_NV24,In-house server 3,","n1,n2,",0.867859
10,13007,"Standard_NV24,In-house server 3,","n1,n2,",0.848426
11,14360,"Standard_NV24,In-house server 3,","n2,n3,n1,",1.15623
12,15654,"In-house server 3,Standard_NV24,","n4,n1,n3,n2,",1.25518
13,16861,"In-house server 3,In-house server 2,Standard_NV24,","n4,n3,n2,n5,n1,",1.54965
14,18201,"In-house server 3,In-house server 2,Standard_NV24,","n3,n2,n4,n5,n1,",1.72041
15,19478,"In-house server 3,In-house server 2,Standard_NV24,","n2,n3,n4,n5,n1,",1.64662
16,20813,"In-house server 3,In-house server 2,Standard_NV24,","n3,n2,n4,n5,n1,",1.70757
17,22080,"In-house server 3,In-house server 2,Standard_NV24,","n3,n2,n4,n5,n1,",1.59847
18,23409,"In-house server 3,In-house server 2,Standard_NV24,","n3,n2,n4,n5,n1,",1.6674
19,24689,"In-house server 3,In-house server 2,Standard_NV24,","n3,n2,n6,n4,n5,n1,",1.78224
20,25940,"In-house server 3,In-house server 2,Standard_NV24,","n1,n3,n2,n6,n7,n5,n4,",1.85743
21,27231,"In-house server 3,In-house server 2,Standard_NV24,","n1,n3,n2,n6,n7,n5,n4,",1.91231
22,28565,"In-house server 3,In-house server 2,Standard_NV24,","n1,n3,n2,n6,n7,n5,n4,",1.93524
23,29846,"In-house server 3,In-house server 2,Standard_NV24,","n1,n3,n2,n6,n7,n5,n4,",1.86618
24,31075,"Standard_NV24,In-house server 3,In-house server 2,","n2,n1,n7,n4,n5,n6,n8,n3,",2.1762
25,32425,"In-house server 1,Standard_NV24,In-house server 2,In-house server 3,","n2,n9,n1,n6,n8,n7,n5,n4,n3,",2.42804
26,33633,"In-house server 1,Standard_NV24,In-house server 2,In-house server 3,","n2,n9,n1,n6,n8,n7,n5,n4,n3,",2.16518
27,34912,"In-house server 1,Standard_NV24,In-house server 2,In-house server 3,","n2,n10,n6,n8,n1,n9,n3,n7,n5,n4,",2.44877
28,36194,"Standard_NV24,In-house server 2,In-house server 3,","n2,n10,n3,n1,n9,n8,n6,n7,n5,n4,",2.54244
29,37501,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n10,n3,n1,n9,n8,n6,n7,n5,n4,",2.69206
30,38732,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n10,n3,n1,n9,n8,n6,n7,n5,n4,",2.53475
31,40072,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n10,n3,n5,n4,n7,n1,n9,n8,n6,",2.73814
32,41382,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n11,n3,n9,n10,n8,n6,n5,n4,n7,n1,",2.92988
33,42674,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n11,n1,n3,n9,n10,n8,n6,n5,n4,n7,",2.87164
34,43964,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n4,n7,n12,n5,n11,n8,n10,n1,n2,n6,n9,",3.02486
35,45238,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n12,n5,n11,n8,n10,n3,n13,n1,n2,n6,n9,",3.38724
36,46538,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n12,n5,n11,n8,n10,n3,n13,n1,n2,n6,n9,",3.43518
37,47846,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n12,n9,n6,n5,n11,n1,n3,n13,n14,n8,n10,n2,",3.61619
38,49186,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n6,n9,n12,n7,n5,n11,n1,n3,n13,n14,n8,n10,n2,",3.72103
39,50429,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n1,n3,n13,n14,n6,n9,n12,n10,n8,n2,n15,n5,n11,",3.84184
40,51698,"Standard_NV24X,In-house server 1,In-house server 2,In-house server 3,","n4,n7,n12,n14,n6,n9,n1,n11,n15,n5,n2,n10,n8,n3,n13,n16,n17,",4.37105
41,52909,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n12,n8,n10,n14,n9,n6,n1,n11,n15,n5,n2,n3,n13,n16,n17,",4.38811
42,54228,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n12,n8,n10,n14,n2,n9,n6,n1,n11,n15,n5,n3,n13,n16,n17,",4.7611
43,55528,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n6,n9,n14,n18,n12,n8,n10,n13,n16,n17,n3,n2,n7,n11,n15,n5,n1,",5.10057
44,56782,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n6,n9,n14,n18,n12,n8,n10,n13,n16,n17,n3,n2,n7,n11,n15,n5,n1,",4.90801
45,57567.1,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n14,n18,n12,n9,n6,n8,n10,n13,n16,n17,n3,n2,n1,n11,n15,n5,",2.99208
46,58002,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n14,n18,n12,n9,n6,n8,n10,n13,n16,n17,n3,n2,n1,n11,n15,n5,",1.65272
47,58783.3,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n14,n18,n12,n9,n6,n8,n10,n13,n16,n17,n3,n2,n1,n11,n15,n5,",2.96791
48,58858.4,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n13,n17,n3,n16,n14,n12,n10,n8,n6,n9,n2,n1,n11,n15,n5,",0.277217
49,59335,"Standard_NV24X,In-house server 3,In-house server 2,","n7,n4,n13,n16,n3,n14,n12,n9,n6,n10,n8,n2,n1,n15,n11,n5,",1.61126
50,60649,"Standard_NV24X,In-house server 3,In-house server 2,","n7,n4,n13,n16,n3,n14,n12,n10,n8,n9,n6,n2,n1,n15,n11,n5,",4.43269
51,61990,"Standard_NV24X,In-house server 3,In-house server 2,","n7,n4,n14,n17,n3,n16,n13,n12,n10,n8,n2,n6,n9,n1,n11,n15,n5,",4.65294
52,63296,"Standard_NV24X,In-house server 3,In-house server 2,","n4,n5,n11,n15,n14,n8,n10,n12,n6,n9,n17,n16,n13,n3,n7,n2,n1,",4.67647
53,64600,"Standard_NV24X,In-house server 3,In-house server 2,","n18,n5,n11,n15,n3,n16,n17,n13,n14,n8,n10,n12,n6,n9,n4,n7,n2,n1,",5.07862
54,65891,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n15,n11,n5,n4,n7,n18,n19,n8,n10,n2,n13,n17,n16,n3,n1,n9,n6,n12,",5.44426
55,67151,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n2,n8,n10,n18,n19,n13,n17,n16,n3,n15,n11,n5,n7,n4,n9,n6,n12,n1,",5.30675
56,67816.2,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n2,n8,n10,n18,n19,n13,n17,n16,n3,n15,n11,n5,n7,n4,n9,n6,n12,n1,",2.79833
57,68442,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n12,n4,n7,n10,n8,n6,n9,n13,n17,n16,n3,n2,n1,n15,n5,n11,",2.35007
58,69786,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n12,n10,n8,n13,n16,n17,n3,n6,n9,n18,n4,n7,n15,n11,n5,n2,n1,",5.21156
59,70587,"Standard_NV24X,In-house server 2,In-house server 3,","n14,n12,n10,n8,n4,n7,n6,n9,n19,n18,n2,n1,n15,n5,n11,n13,n17,n16,n3,",3.18802
