slot_number,sim_time,VM_type,NodeID,cost/node
1,45219,"In-house server 1,","n1,",1.38169
2,90467,"In-house server 1,","n1,",4.14774
3,109942,"Standard_NV24,","n1,",13.416
4,135349,"Standard_NV12,","n1,",17.5027
5,168190,"In-house server 1,In-house server 3,","n1,",3.51216
6,177585,"Standard_NV12,","n1,",6.4721
7,180438,"In-house server 1,","n1,",0.0871763
8,225658,"In-house server 1,","n1,",2.07258
9,270829,"In-house server 3,","n1,",3.1548
10,284616,"Standard_NV24,","n1,",9.498
11,315699,"In-house server 3,","n1,",10.1306
12,337765,"Standard_NV24,","n1,",15.2008
13,353844,"Standard_NV24,","n1,",11.0766
14,360763,"Standard_NV12,","n1,",2.38334
15,405726,"In-house server 1,In-house server 3,","n1,",5.2207
16,450633,"In-house server 3,","n1,",767.895
17,496409,"In-house server 1,In-house server 3,","n1,",4.04075
18,506520,"In-house server 1,In-house server 3,","n1,",1153.41
19,525322,"In-house server 3,","n1,",1429.47
20,671504,"In-house server 1,In-house server 3,","n1,",75.9335
21,766499,"In-house server 1,","n1,",2.9026
