slot_number,sim_time,tardiness
1,1837,0
2,3650,0
3,5505,0
4,7327,0
5,9088,0
6,10797,0
7,12569,0
8,14429,0
9,16299,0
10,18019,0
11,19798,0
12,21583,0
13,23401,0
14,25246,0
15,27029,0
16,28830,0
17,30655,0
18,32380,0
19,34268,0
20,35997,0
21,37820,0
22,39670,0
23,41447,0
24,43305,0
25,45122,0
26,46850.5,0
27,46988,0
28,48762,0
29,50536,0
30,52343,0
31,54148,0
32,55928,0
33,57674,0
34,59461,0
35,61235,0
36,63033,0
37,64827,0
38,66640,0
39,68436,0
40,70251,0
41,71961,0
42,73195,0
43,73778,0
44,75549,0
45,77297,0
46,79126,0
47,80898,0
48,82615.4,0
49,82703,0
50,84516,0
51,86286,0
52,88038,0
53,89548.9,0
54,89843,0
55,91682,0
56,93433,0
57,95205,0
58,96995,0
59,98844,0
60,100585,0
61,102395,0
62,104239,0
63,106021,0
64,106319,0
65,107846,0
66,109669,0
67,111519,0
68,112815,0
69,113271,0
70,115072,0
71,116912,0
72,117397,0
73,118712,0
74,120441,0
75,122309,0
76,122733,0
77,124105,0
78,125991,0
79,127845,0
80,128795,0
81,129563,0
82,131365,0
83,132883,0
84,133131,0
85,134956,0
86,136721,0
87,137897,0
88,138493,0
89,139112,0
90,140316,0
91,141287,0
92,142134,0
93,143928,0
94,144047,0
95,145721,0
96,146265,0
97,147485,0
98,147945,0
99,148732,0
100,149329,0
101,150154,0
102,151130,0
103,151710,0
104,151837,0
105,152924,0
106,153936,0
107,154738,0
108,154836,0
109,156274,0
110,156425,0
111,156578,0
112,158316,0
113,160052,0
114,161909,0
115,161955,0
116,163692,0
117,165488,0
118,165765,0
119,167288,0
120,169124,0
121,170954,0
122,172828,0
123,173723,0
124,174612,0
125,176463,0
126,177187,0
127,178338,0
128,180093,0
129,181923,0
130,183643,0
131,185403,0
132,185714,0
133,186676,0
134,187212,0
135,189032,0
136,189988,0
137,190926,0
138,192677,0
139,194244,0
140,194425,0
141,195949,0
142,196285,0
143,197332,0
144,197974,0
145,199308,0
146,199757,0
147,201090,0
148,201572,0
149,201784,0
150,203459,0
151,204014,0
152,205199,0
153,205937,0
154,206247,0
155,206961,0
156,207223,0
157,207562,0
158,208748,0
159,209136,0
160,210630,0
161,210893,0
162,212374,0
163,212383,0
164,212838,0
165,213572,0
166,213955,0
167,214243,0
168,215630,0
169,216053,0
170,216781,0
171,217851,0
172,219682,0
173,221500,0
174,222959,0
175,223258,0
176,225089,0
177,226881,0
178,227476,0
179,228700,0
180,229323,0
181,229916,0
182,230537,0
183,232328,0
184,233106,0
185,233281,0
186,234140,0
187,235964,0
188,237786,0
189,238318,0
190,239530,0
191,240280,0
192,240769,0
193,241355,0
194,241699,0
195,243122,0
196,243132,0
197,244853,0
198,246560,0
199,247093,0
200,248044,0
201,248239,0
202,248399,0
203,250227,0
204,252051,0
205,253766,0
206,253858,0
207,255714,0
208,257553,0
209,259374,0
210,259480,0
211,261201,0
212,261791,0
213,262954,0
214,264008,0
215,264735,0
216,266518,0
217,268380,0
218,268777,0
219,270146,0
220,271303,0
221,271987,0
222,272603,0
223,273723,0
224,273784,0
225,275480,0
226,276244,0
227,276828,0
228,277297,0
229,279154,0
230,279464,0
231,280969,0
232,282738,0
233,283566,0
234,284541,0
235,286359,0
236,288202,0
237,289567,0
238,290019,0
239,291799,0
240,293649,0
241,294819,0
242,295474,0
243,296087,0
244,297120,0
245,297214,0
246,298986,0
247,299887,0
248,300822,0
249,302568,0
250,302686,0
251,304154,0
252,304300,0
253,305788,0
254,306176,0
255,307966,0
256,308171,0
257,309800,0
258,311404,0
259,311637,0
260,313412,0
261,313744,0
262,315220,0
263,316742,0
264,316994,0
265,317021,0
266,317283,0
267,317626,0
268,318889,0
269,319917,0
270,320644,0
271,321777,0
272,322383,0
273,323906,0
274,324057,0
275,324226,0
276,325717,0
277,325902,0
278,327727,0
279,328070,0
280,329511,0
281,331206,0
282,331214,0
283,333039,0
284,333701,0
285,334029,0
286,334912,0
287,336266,0
288,336694,0
289,338483,0
290,340301,0
291,342034,0
292,343810,0
293,344030,0
294,345601,0
295,347424,0
296,348202,0
297,349022,0
298,349230,0
299,349519,0
300,350979,0
301,352007,0
302,352769,0
303,354627,0
304,354949,0
305,356441,0
306,358106,0
307,358143,0
308,358270,0
309,360029,0
310,360619,0
311,361784,0
312,361995,0
313,363545,0
314,365281,0
315,365291,0
316,366148,0
317,367027,0
318,367927,0
319,368865,0
320,370709,0
321,370730,0
322,372453,0
323,372559,0
324,374285,0
325,376132,0
326,377953,0
327,379035,0
328,379696,0
329,381554,0
330,383363,0
331,384488,0
332,385246,0
333,387027,0
334,388825,0
335,389385,0
336,390165,0
337,390547,0
338,391528,0
339,392393,0
340,392636,0
341,394218,0
342,395748,0
343,396063,0
344,397875,0
345,398372,0
346,399189,0
347,399384,0
348,399619,0
349,401418,0
350,402888,0
351,403178,0
352,403462,0
353,404177,0
354,404986,0
355,406814,0
356,408609,0
357,409211,0
358,409612,0
359,410340,0
360,410437,0
361,412239,0
362,412511,0
363,412943,0
364,414021,0
365,415074,0
366,415785,0
367,417608,0
368,417651,0
369,419413,0
370,421175,0
371,421224,0
372,422917,0
373,423170,0
374,424830,0
375,426208,0
376,426617,0
377,428189,0
378,428411,0
379,429498,0
380,430251,0
381,430736,0
382,431270,0
383,432076,0
384,433861,0
385,435604,0
386,435882,0
387,437488,0
388,439299,0
389,440185,0
390,440579,0
391,441044,0
392,442816,0
393,444529,0
394,445866,0
395,446272,0
396,447771,0
397,448099,0
398,449379,0
399,449562,0
400,449896,0
401,451795,0
402,452427,0
403,456474,0
