slot_number,sim_time,VM_type,NodeID,cost/node
1,1005,"In-house server 1,","n1,",0.0307083
2,2001,"In-house server 1,In-house server 2,","n1,n2,",0.197171
3,3060,"In-house server 1,In-house server 3,In-house server 2,","n1,n2,n3,",0.339075
4,4071,"In-house server 2,In-house server 3,","n1,n2,",0.243389
5,5113,"Standard_NV6,In-house server 2,In-house server 3,","n1,n3,n2,",0.452949
6,6108,"In-house server 3,In-house server 2,Standard_NC6,","n4,n3,n2,n1,",0.703159
7,7117,"In-house server 3,In-house server 2,Standard_NC6,","n1,n4,n3,n2,",0.709851
8,8140,"Standard_NC6,In-house server 2,In-house server 3,","n1,n4,n3,n2,",0.749294
9,9164,"Standard_NC12,In-house server 2,In-house server 3,","n1,n4,n2,n3,",0.897706
10,10167,"Standard_NV6,Standard_NC6,In-house server 2,In-house server 3,","n4,n5,n1,n6,n3,n2,",0.976731
11,11249,"Standard_NV6,Standard_NC6,In-house server 2,In-house server 3,","n1,n6,n5,n4,n2,n3,",1.04702
12,12228,"Standard_NC6,Standard_NV6,In-house server 3,In-house server 2,","n6,n2,n3,n1,n5,n4,",0.970856
13,13258,"In-house server 3,In-house server 2,Standard_NC6,Standard_NV12,","n1,n6,n5,n4,n3,n2,",1.15406
14,14312,"Standard_NV6,Standard_NC6,In-house server 2,In-house server 3,","n1,n4,n5,n7,n6,n2,n3,",1.15941
15,15353,"Standard_NC6,Standard_NV6,In-house server 3,In-house server 2,","n2,n1,n3,n8,n6,n7,n5,n4,",1.29435
16,16301,"Standard_NC6,Standard_NV12,In-house server 2,In-house server 3,","n2,n1,n3,n8,n6,n5,n7,n4,",1.30104
17,17269,"Standard_NV12,In-house server 2,In-house server 3,","n1,n2,n3,n8,n6,n7,n5,n4,",1.30173
18,18297,"Standard_NV12,Standard_NC12,In-house server 2,In-house server 3,","n2,n1,n4,n7,n5,n9,n3,n8,n6,",1.79748
19,19298,"Standard_NV24,In-house server 2,In-house server 3,","n3,n1,n2,n6,n8,n4,n5,n7,",1.69467
20,20332,"Standard_NV12,Standard_NC12,In-house server 2,In-house server 3,","n2,n3,n1,n4,n7,n5,n9,n8,n6,",1.71537
