slot_number,sim_time,VM_type,NodeID,cost/node
1,1012,"In-house server 1,","n1,",0.0309222
2,2099,"In-house server 1,In-house server 2,","n1,n2,",0.374411
3,3115,"In-house server 1,In-house server 2,","n2,n3,n1,",0.668866
4,4175,"In-house server 1,In-house server 2,","n2,n3,n1,",0.730222
5,5235,"In-house server 3,In-house server 2,","n1,n3,n2,",0.730222
6,6297,"In-house server 2,In-house server 3,Standard_NV6,","n4,n3,n2,n1,",0.9204
7,7327,"In-house server 2,In-house server 3,Standard_NV6,","n5,n1,n4,n3,n2,",1.01856
8,8356,"Standard_NV6,In-house server 3,In-house server 2,","n5,n1,n4,n2,n3,",1.01185
9,9352,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n1,n6,n4,n5,n3,n2,",1.0375
10,10387,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n1,n2,n6,n5,n7,n4,n3,",1.403
11,11440,"Standard_NV12,In-house server 1,In-house server 3,In-house server 2,","n2,n6,n5,n4,n7,n1,n3,",1.60875
12,12470,"In-house server 1,Standard_NV12,In-house server 2,In-house server 3,","n2,n3,n6,n8,n1,n7,n4,n5,",1.89692
13,13525,"In-house server 1,Standard_NV12,In-house server 2,In-house server 3,","n7,n5,n4,n2,n1,n9,n3,n8,n6,",2.27411
14,14583,"Standard_NV12,In-house server 2,In-house server 3,","n2,n3,n6,n8,n1,n9,n5,n7,n4,",2.35405
15,15584,"Standard_NV24,In-house server 2,In-house server 3,","n2,n1,n5,n4,n7,n9,n3,n8,n6,",2.45709
16,16622,"Standard_NV24,In-house server 2,In-house server 3,","n2,n1,n3,n4,n7,n5,n9,n8,n6,",2.54637
17,17691,"Standard_NV24,In-house server 2,In-house server 3,","n1,n3,n2,n4,n7,n5,n9,n8,n6,",2.63995
18,18710,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n1,n6,n8,n4,n7,n5,n9,n2,",2.68057
19,19726,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n1,n2,n9,n10,n6,n8,n4,n7,n5,",2.99159
20,20779,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n3,n1,n9,n10,n6,n8,n4,n7,n5,",3.13404
21,21819,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n3,n1,n11,n6,n8,n4,n5,n7,n10,n9,",3.42179
22,22880,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n3,n1,n11,n6,n8,n4,n5,n7,n10,n9,",3.44092
23,23938,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n10,n8,n12,n6,n9,n1,n11,n5,n4,n3,n2,",3.54139
24,24976,"Standard_NV24X,In-house server 2,In-house server 3,","n12,n2,n3,n13,n1,n11,n5,n7,n4,n10,n8,n6,n9,",3.85444
25,26137,"In-house server 3,In-house server 2,Standard_NV24X,","n1,n2,n3,n13,n12,n10,n8,n11,n5,n7,n4,n6,n9,",4.23836
26,27149,"In-house server 1,Standard_NV24,In-house server 2,In-house server 3,","n4,n11,n5,n7,n12,n10,n8,n14,n3,n13,n2,n6,n9,n1,",3.66788
27,28236,"Standard_NV24,In-house server 2,In-house server 3,","n10,n8,n7,n11,n5,n4,n12,n14,n13,n3,n2,n6,n9,n1,",4.00898
28,29293,"Standard_NV24,In-house server 2,In-house server 3,","n9,n6,n4,n7,n5,n11,n15,n14,n8,n10,n12,n13,n3,n2,n1,",3.92351
29,30308,"In-house server 1,Standard_NV24,In-house server 2,In-house server 3,","n10,n8,n7,n14,n12,n9,n6,n3,n13,n16,n4,n11,n15,n5,n2,n1,",3.77309
30,31385,"In-house server 3,In-house server 2,In-house server 1,Standard_NV24X,","n7,n1,n4,n12,n9,n6,n5,n11,n15,n3,n16,n13,n8,n10,n14,n2,",4.177
31,32494,"Standard_NV24,In-house server 2,In-house server 3,","n7,n1,n14,n12,n9,n6,n5,n11,n15,n16,n3,n13,n8,n10,n4,n2,",4.29265
32,33528,"Standard_NV24,In-house server 2,In-house server 3,","n1,n7,n14,n12,n9,n6,n5,n11,n15,n16,n3,n13,n8,n10,n4,n2,",3.90898
33,34590,"Standard_NV24,In-house server 2,In-house server 3,","n1,n14,n8,n10,n12,n9,n6,n5,n11,n15,n16,n3,n13,n4,n7,n2,",3.97654
34,35642,"Standard_NV24,In-house server 2,In-house server 3,","n1,n14,n8,n10,n12,n9,n6,n5,n11,n15,n16,n3,n13,n4,n7,n2,",3.94261
35,36684,"Standard_NV24,In-house server 2,In-house server 3,","n1,n8,n10,n14,n15,n5,n11,n12,n9,n6,n4,n7,n17,n16,n3,n13,n2,",4.03248
36,37773,"Standard_NV24,In-house server 2,In-house server 3,","n1,n8,n10,n2,n5,n15,n11,n12,n18,n14,n16,n13,n17,n3,n6,n9,n4,n7,",4.5319
37,38816,"Standard_NV24,In-house server 2,In-house server 3,","n7,n1,n6,n9,n14,n12,n8,n10,n17,n16,n3,n13,n4,n15,n11,n5,n2,",3.79412
38,39834,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n6,n9,n14,n2,n12,n8,n10,n17,n16,n3,n13,n7,n4,n15,n11,n5,",3.78109
39,40893,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n2,n5,n15,n11,n6,n9,n12,n10,n8,n16,n17,n3,n13,n18,n14,n7,n4,",4.04686
40,41907,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n2,n10,n8,n12,n15,n5,n11,n16,n17,n3,n13,n18,n14,n6,n9,n7,n4,",3.86621
41,42944,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n1,n2,n6,n9,n12,n10,n8,n16,n17,n3,n13,n18,n14,n15,n11,n5,n4,",3.94384
42,43995,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n1,n2,n14,n12,n10,n8,n6,n9,n11,n15,n5,n4,n18,n19,n17,n16,n13,n3,",4.12554
43,45079,"Standard_NV24X,In-house server 2,In-house server 3,","n12,n2,n7,n14,n8,n10,n18,n19,n9,n6,n1,n20,n11,n15,n5,n4,n17,n13,n16,n3,",4.37125
44,45299.5,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n2,n12,n14,n9,n6,n10,n8,n11,n15,n5,n18,n19,n17,n16,n13,n3,n1,",0.866914
45,46182,"Standard_NV24X,In-house server 2,In-house server 3,","n7,n4,n2,n12,n8,n10,n14,n18,n6,n9,n11,n15,n5,n17,n16,n13,n3,n1,",3.19255
46,47216,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n12,n2,n7,n8,n10,n14,n11,n15,n5,n6,n9,n18,n19,n17,n13,n3,n16,n1,",3.86701
47,48237,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n12,n2,n7,n5,n11,n15,n14,n9,n6,n10,n8,n18,n19,n17,n13,n3,n16,n1,",3.81209
48,49310,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n19,n18,n2,n7,n14,n12,n8,n10,n5,n11,n15,n13,n17,n16,n3,n6,n9,n20,n1,",4.14318
49,49504.5,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n19,n18,n7,n14,n12,n1,n20,n8,n10,n5,n11,n15,n13,n17,n16,n3,n6,n9,n2,",0.748204
50,50312,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n14,n1,n12,n8,n10,n5,n11,n15,n13,n17,n16,n3,n6,n9,n2,n18,n19,",3.00817
51,51321,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n14,n7,n19,n18,n12,n1,n20,n8,n10,n3,n13,n17,n16,n15,n5,n11,n6,n9,n2,",3.88201
52,51570.4,"In-house server 2,In-house server 3,Standard_NV24X,","n10,n8,n17,n16,n13,n3,n20,n1,n4,n7,n9,n6,n12,n2,n14,n11,n5,n15,n18,n19,",0.955214
53,52333,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n7,n14,n1,n12,n8,n10,n5,n11,n15,n13,n17,n16,n3,n6,n9,n2,n18,n19,",2.82746
54,53389,"In-house server 2,In-house server 3,Standard_NV24X,","n10,n8,n17,n16,n13,n3,n20,n1,n4,n7,n9,n6,n12,n2,n14,n11,n5,n15,n18,n19,",4.04441
55,54404,"In-house server 2,In-house server 3,Standard_NV24X,","n10,n8,n17,n16,n13,n3,n4,n7,n18,n19,n20,n1,n9,n6,n12,n2,n14,n11,n5,n15,",3.8776
56,55458,"Standard_NV24X,In-house server 3,In-house server 2,","n10,n8,n4,n11,n15,n5,n7,n12,n9,n6,n19,n18,n14,n2,n17,n16,n13,n3,n20,n1,",3.96822
57,56432,"In-house server 1,Standard_NV24X,In-house server 3,In-house server 2,","n12,n10,n8,n14,n21,n7,n2,n19,n18,n4,n11,n15,n5,n17,n13,n16,n3,n6,n9,n20,n1,",3.71437
58,57421,"Standard_NV24X,In-house server 3,In-house server 2,","n12,n14,n21,n9,n6,n10,n8,n13,n16,n17,n3,n1,n20,n2,n19,n18,n4,n7,n15,n11,n5,",3.81895
59,58517,"Standard_NV24X,In-house server 3,In-house server 2,","n12,n14,n21,n9,n6,n10,n8,n13,n17,n16,n3,n1,n20,n2,n18,n19,n4,n7,n15,n11,n5,",4.23053
60,59532,"Standard_NV24X,In-house server 3,In-house server 2,","n12,n14,n21,n9,n6,n10,n8,n7,n13,n17,n16,n3,n1,n20,n18,n19,n2,n4,n15,n11,n5,",3.9107
61,60621,"Standard_NV6,Standard_NV24X,In-house server 3,In-house server 2,","n12,n10,n8,n22,n9,n6,n7,n13,n16,n17,n3,n14,n21,n18,n19,n1,n20,n5,n15,n11,n2,n4,",4.38337
62,61683,"Standard_NV6,Standard_NV24X,In-house server 1,In-house server 3,In-house server 2,","n10,n8,n23,n9,n6,n7,n4,n13,n17,n16,n3,n11,n5,n15,n18,n19,n22,n1,n20,n12,n14,n21,n2,",4.31976
63,62704,"Standard_NV6,Standard_NV24X,In-house server 3,In-house server 2,","n10,n8,n23,n2,n7,n13,n3,n17,n16,n11,n5,n15,n18,n19,n22,n1,n20,n12,n9,n6,n14,n21,n4,",4.29439
64,63713,"Standard_NV6,Standard_NV24X,In-house server 3,In-house server 2,","n23,n10,n8,n7,n2,n9,n6,n13,n3,n17,n16,n18,n19,n22,n1,n20,n12,n14,n21,n11,n15,n5,n4,",4.16001
65,63983.4,"Standard_NV24X,Standard_NV6,In-house server 3,In-house server 2,","n17,n3,n21,n13,n11,n18,n19,n16,n15,n23,n12,n20,n1,n4,n6,n9,n7,n2,n8,n14,n5,n22,n10,n24,",1.14773
66,64783,"Standard_NV24X,Standard_NV6,In-house server 3,In-house server 2,","n10,n8,n7,n2,n9,n6,n4,n1,n20,n22,n12,n23,n19,n18,n11,n5,n15,n14,n21,n13,n3,n17,n16,",3.14355
