n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,22594,pytorch_vgg19,130000,224,16,J75,JJ1,0,4.30135e+06,0.00455397,43280.6,6.31367e+06,22594,31.3675,0,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,3.7824,0,3.7824
2,45004,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,43248.9,6.31438e+06,22410,31.128,22594,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,7.03425,0,7.03425
2,45004,pytorch_vgg19,130000,224,16,J75,JJ1,0,4.30135e+06,0.00455397,29704.5,4.33323e+06,22410,62.4796,0,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,3.7516,0,3.7516
3,67418,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,29786.4,4.34884e+06,22414,31.8238,22594,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.684872,0,0.684872
3,67418,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,48952.6,390266,22414,13.5882,45004,0,n1,In-house server 3,Quadro P600,2,0.44,0,1.36974,0,1.36974
3,67418,pytorch_vgg19,130000,224,16,J75,JJ1,0,4.30135e+06,0.00455397,16239,2.36891e+06,22414,93.5972,0,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,7.03551,0,7.03551
4,72029.9,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,29485.5,4.30491e+06,4611.91,31.9669,22594,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0563678,0,0.0563678
4,72029.9,pytorch_vgg19,130000,224,16,J75,JJ1,0,4.30135e+06,0.00455397,2771.16,404250,4611.91,100,0,72029.9,n2,In-house server 2,GTX 1080Ti,8,1.13,0,1.44763,0,1.44763
4,72029.9,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,42300.8,337236,4611.91,16.3841,45004,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.112736,0,0.112736
4,72029.9,pytorch_alexnet,130000,2957,256,J22,JJ4,67418,1.76125e+06,0.00794125,43214.1,1.22039e+06,4611.91,1.56267,67418,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.169103,0,0.169103
5,89943,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,29423.6,4.29587e+06,17913.1,56.8486,22594,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,2.99878,0,2.99878
5,89943,pytorch_alexnet,130000,2957,256,J22,JJ4,67418,1.76125e+06,0.00794125,42538.8,1.20132e+06,17913.1,43.0147,67418,0,n1,In-house server 3,Quadro P600,4,0.44,0,1.45959,0,1.45959
5,89943,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,40932.2,326324,17913.1,27.5493,45004,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.364896,0,0.364896
6,112398,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,35466.5,282750,22455,41.5454,45004,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.343063,0,0.343063
6,112398,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,18662.5,2.72474e+06,22455,57.5456,22594,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.343063,0,0.343063
6,112398,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,98251.6,473608,22455,22.8546,89943,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,7.04837,0,7.04837
6,112398,pytorch_alexnet,130000,2957,256,J22,JJ4,67418,1.76125e+06,0.00794125,24625.7,695443,22455,94.9769,67418,0,n2,In-house server 3,Quadro P600,4,0.44,0,1.37225,0,1.37225
7,114569,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,18361.1,2.68073e+06,2170.67,57.6049,22594,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0482372,0,0.0482372
7,114569,pytorch_alexnet,130000,2957,256,J22,JJ4,67418,1.76125e+06,0.00794125,2170.67,61301,2170.67,100,67418,114569,n2,In-house server 3,Quadro P600,4,0.44,0,0.0964744,0,0.0964744
7,114569,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,75796.6,365366,2170.67,24.2981,89943,0,n1,Standard_NV6,M60,1,0.62,0,0.373838,0,0.373838
7,114569,tf_alexnet,130000,279,512,J111,JJ6,112398,278022,0.00683972,44571.3,368373,2170.67,1.50917,112398,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0241186,0,0.0241186
7,114569,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,28615,228128,2170.67,42.8984,45004,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0241186,0,0.0241186
8,134870,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,18335.4,2.67699e+06,20301.3,58.1591,22594,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.496255,0,0.496255
8,134870,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,74378.3,358530,20301.3,37.7982,89943,0,n1,Standard_NV6,M60,1,0.62,0,3.49634,0,3.49634
8,134870,tf_alexnet,130000,279,512,J111,JJ6,112398,278022,0.00683972,43898.6,362814,20301.3,15.6237,112398,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.248127,0,0.248127
8,134870,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,27952.7,222848,20301.3,55.5521,45004,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.248127,0,0.248127
9,157274,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,61114.2,294592,22404,55.2417,89943,0,n2,In-house server 2,GTX 1080Ti,1,1.13,0,0.540951,0,0.540951
9,157274,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,18095.7,2.64199e+06,22404,80.7616,22594,0,n2,In-house server 2,GTX 1080Ti,7,1.13,0,3.78666,0,3.78666
9,157274,tf_alexnet,130000,372,256,J94,JJ7,134870,530550,0.00598912,65786.8,536027,22404,10.4882,134870,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.547653,0,0.547653
9,157274,tf_alexnet,130000,279,512,J111,JJ6,112398,278022,0.00683972,37607.6,310820,22404,31.2001,112398,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.547653,0,0.547653
9,157274,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,21758.4,173465,22404,69.5165,45004,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.547653,0,0.547653
10,179739,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,8320.41,1.21479e+06,22465,81.4589,22594,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.249611,0,0.249611
10,179739,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,43975.7,211979,22465,68.4377,89943,0,n2,Standard_NC12,K80,1,1.13,0,3.52576,0,3.52576
10,179739,tf_alexnet,130000,372,256,J94,JJ7,134870,530550,0.00598912,58886.9,479807,22465,21.005,134870,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.249611,0,0.249611
10,179739,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,14922.5,118967,22465,83.5189,45004,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.249611,0,0.249611
10,179739,tf_alexnet,130000,279,512,J111,JJ6,112398,278022,0.00683972,30665,253440,22465,46.2366,112398,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.499222,0,0.499222
10,179739,tf_alexnet,130000,358,128,J101,JJ8,157274,328587,0.0103876,75539.9,602217,22465,23.31,157274,0,n2,Standard_NC12,K80,1,1.13,0,3.52576,0,3.52576
11,188975,tf_alexnet,130000,358,128,J101,JJ8,157274,328587,0.0103876,57931.6,461840,9235.87,32.8932,157274,0,n2,Standard_NC6,K80,1,0.56,0,1.43669,0,1.43669
11,188975,tf_resnet50,130000,83,16,J150,JJ5,89943,236925,0.0125122,31010.5,149482,9235.87,74.5794,89943,0,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
11,188975,tf_alexnet,130000,232,128,J113,JJ3,45004,445347,0.00648493,8067.95,64320.2,9235.87,100,45004,188975,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
11,188975,tf_alexnet,130000,372,256,J94,JJ7,134870,530550,0.00598912,51968.3,423434,9235.87,33.2895,134870,0,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
11,188975,pytorch_resnet50,130000,3472,32,J47,JJ9,179739,1.06034e+07,0.011732,43206.4,1.90148e+07,9235.87,0.166648,179739,0,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
11,188975,tf_alexnet,130000,279,512,J111,JJ6,112398,278022,0.00683972,23963,198050,9235.87,64.3886,112398,0,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
11,188975,pytorch_vgg19,130000,224,16,J84,JJ2,22594,1.76167e+06,0.00740894,8018.82,1.17075e+06,9235.87,82.5508,22594,0,n1,Standard_NV24X,M60,1,4.96,0,1.15682,0,1.15682
12,202173,pytorch_resnet50,130000,3472,32,J47,JJ9,179739,1.06034e+07,0.011732,43134.4,1.89831e+07,13198.1,0.367621,179739,0,n2,In-house server 3,Quadro P600,3,0.44,0,0.403276,0,0.403276
