slot_number,sim_time,VM_type,NodeID,cost/node
1,11095,"In-house server 1,","n1,",0.339014
2,22487,"In-house server 2,In-house server 1,","n1,n2,",3.92391
3,33890,"In-house server 2,In-house server 1,","n2,n3,n1,",4.27612
4,45115,"In-house server 2,In-house server 1,","n1,n4,n2,n3,",4.55236
5,56474,"In-house server 2,Standard_NV6,In-house server 1,","n1,n4,n2,n3,",6.21589
6,67711,"Standard_NC6,In-house server 1,In-house server 3,","n4,n2,n3,n1,",3.8081
7,78842,"Standard_NV6,In-house server 1,","n1,n3,n2,n4,",2.93735
8,90232,"Standard_NV6,In-house server 1,","n4,n3,n2,n1,",3.00569
9,101525,"Standard_NC6,Standard_NV6,In-house server 1,","n4,n3,n2,n1,",4.39173
10,112661,"Standard_NV6,In-house server 1,","n1,n4,n3,n2,",2.93867
11,123888,"Standard_NV6,In-house server 1,","n1,n4,n3,n2,",2.96268
12,135104,"In-house server 1,Standard_NV6,","n4,n3,n2,n1,",2.95977
13,144760,"Standard_NC6,In-house server 1,","n4,n1,n3,n2,",3.59429
14,162232,"Standard_NC6,Standard_NV6,In-house server 1,","n4,n1,n2,n3,",6.79442
15,197299,"Standard_NV6,In-house server 1,","n1,n4,n3,n2,",9.25377
16,262185,"Standard_NC6,In-house server 1,","n4,n3,n2,n1,",16.0413
17,273879,"In-house server 3,In-house server 2,In-house server 1,","n4,n2,n3,n1,",5.81461
18,305646,"In-house server 1,In-house server 2,","n1,n2,n3,n4,",12.8832
19,323217,"In-house server 3,In-house server 1,","n3,n2,n4,n1,",3.75825
20,358091,"In-house server 3,In-house server 1,In-house server 2,","n1,n2,n3,n4,",17.3402
21,399833,"In-house server 2,In-house server 1,","n4,n1,n3,n2,",16.9286
22,437507,"In-house server 1,","n1,n2,",2.30232
23,499099,"In-house server 1,","n1,n2,",3.76398
24,741146,"In-house server 1,","n1,",7.39588
25,838116,"In-house server 1,","n1,",2.96296
