slot_number,sim_time,tardiness
1,15061,0
2,29995,0
3,44991,0
4,59914,0
5,73195.5,0
6,74944,0
7,89860,0
8,104821,0
9,119769,0
10,133067,0
11,134747,0
12,149560,0
13,164513,0
14,164545,0
15,179384,0
16,194319,0
17,207828,0
18,209369,0
19,224219,0
20,233193,0
21,239244,0
22,243663,0
23,254039,0
24,269096,0
25,284121,0
26,299005,0
27,299131,0
28,314023,0
29,314243,0
30,329039,0
31,343694,0
32,353943,0
33,355618,0
34,358546,0
35,359809,0
36,373531,0
37,385314,0
38,388619,0
39,398917,0
40,403465,0
41,418408,0
42,422603,0
43,430871,0
44,433130,0
45,436922,0
46,447375,0
47,448275,0
48,480423,0
49,514697,0
50,554163,0
51,592994,0
52,617776,0
53,638976,0
54,652057,0
55,712307,0
56,734090,0
57,737146,0
58,746865,0
59,754578,0
60,786624,0
61,857537,0
