slot_number,sim_time,VM_type,NodeID,cost/node
1,14942,"In-house server 1,","n1,",0.456561
2,30054,"In-house server 2,In-house server 1,","n1,n2,",5.20525
3,45045,"In-house server 2,In-house server 1,","n2,n3,n1,",5.62163
4,60073,"In-house server 2,In-house server 1,","n2,n3,n1,",5.6355
5,75249,"Standard_NV6,In-house server 1,","n1,n3,n2,",3.54106
6,90322,"Standard_NV6,In-house server 1,","n1,n3,n2,",3.51704
7,105374,"Standard_NV6,In-house server 1,","n3,n2,n1,",3.51213
8,120422,"Standard_NC6,In-house server 1,","n3,n2,n1,",3.2604
9,135561,"In-house server 1,Standard_NV6,","n3,n2,n1,",3.53243
10,137268,"Standard_NC6,Standard_NV6,In-house server 1,","n3,n2,n1,",0.611691
11,150479,"In-house server 3,In-house server 1,Standard_NV6,","n3,n2,n1,",4.29356
12,165157,"Standard_NV6,In-house server 1,","n3,n2,n1,",3.42487
13,180138,"In-house server 1,Standard_NV6,","n1,n3,n2,",3.49557
14,189614,"In-house server 1,Standard_NV6,","n1,n3,n2,",2.21118
15,195083,"Standard_NC6,In-house server 1,","n1,n3,n2,",1.18485
16,210098,"Standard_NC6,In-house server 3,In-house server 1,","n3,n2,n1,",4.62963
17,225203,"In-house server 1,","n1,n3,n2,",1.38463
18,241900,"Standard_NC6,In-house server 1,","n3,n2,n1,",3.61768
19,279138,"Standard_NV6,In-house server 1,","n1,n3,n2,",8.6889
20,298690,"In-house server 2,In-house server 1,In-house server 3,","n1,n2,n3,",9.12401
21,354816,"Standard_NC6,In-house server 3,Standard_NV6,","n1,n2,n3,",25.2568
22,362829,"In-house server 3,In-house server 1,","n1,n3,n2,",1.46905
23,384410,"In-house server 3,In-house server 1,","n3,n2,n1,",3.95654
24,409724,"In-house server 1,","n3,n2,n1,",2.32048
25,462129,"In-house server 3,In-house server 1,","n1,n3,n2,",9.60757
26,517870,"In-house server 1,","n1,n3,n2,",5.10954
27,561071,"In-house server 1,In-house server 3,","n1,n3,n2,",7.92035
28,561746,"In-house server 2,In-house server 1,","n1,n2,n3,",0.252971
29,604272,"In-house server 1,In-house server 2,","n2,n3,n1,",15.9472
30,829279,"In-house server 1,","n1,",6.87522
31,943233,"In-house server 1,","n1,",3.48191
