slot_number,sim_time,VM_type,NodeID,cost/node
1,0,"In-house server 1,","n1,",0
2,0,"Standard_NV6,Standard_NC12,","n1,n2,",0
3,0,"Standard_NV12,Standard_NC12,","n1,n2,",0
4,0,"Standard_NV12,Standard_NC12,","n1,n2,",0
5,22373,"Standard_NV24X,Standard_NV12,","n2,n1,",38.5313
6,44654,"Standard_NV24X,Standard_NV6,","n1,n2,",34.5356
7,52185.1,"Standard_NV12,Standard_NC24X,","n1,n2,",11.9661
8,57421.5,"Standard_NV6,Standard_NC24X,","n1,n2,",7.41822
9,67136,"In-house server 3,Standard_NV12,","n1,n2,",4.53342
10,74769,"Standard_NV12,Standard_NC24X,","n2,n1,",12.128
11,75572.7,"Standard_NV6,Standard_NC24X,","n2,n1,",1.1386
12,89560,"Standard_NV6,Standard_NC24X,","n1,n2,",19.8153
13,91005.5,"Standard_NC6,In-house server 2,","n2,n1,",0.678584
14,94036.8,"Standard_NC6,In-house server 2,","n1,n2,",1.42304
15,112202,"Standard_NV6,Standard_NV12,","n1,n2,",9.38535
16,130522,"Standard_NV6,In-house server 2,","n1,n2,",8.90559
17,134731,"Standard_NV12,Standard_NC6,","n2,n1,",2.10447
18,156981,"Standard_NC24X,","n1,",27.6883
19,157332,"Standard_NC24X,","n1,",0.437296
20,179903,"In-house server 1,In-house server 2,","n2,n1,",7.77446
21,219800,"Standard_NC24X,In-house server 2,","n1,n2,",62.1734
22,242869,"In-house server 3,In-house server 2,","n1,n2,",10.0603
23,246710,"In-house server 2,","n1,n2,",2.41138
24,288058,"In-house server 2,Standard_NV12,","n1,n2,",27.2208
25,318682,"In-house server 3,","n1,",3.743
