slot_number,sim_time,tardiness
1,7409,0
2,14821,0
3,22185,0
4,29734,0
5,37270,0
6,44744,0
7,52205,0
8,59610,0
9,67074,0
10,74662,0
11,82173,0
12,89643,0
13,97105,0
14,100849,0
15,104543,0
16,112083,0
17,119578,0
18,120438,0
19,125380,0
20,126937,0
21,132847,0
22,134315,0
23,141816,0
24,143553,0
25,143833,0
26,147476,0
27,149309,0
28,156721,0
29,164178,0
30,171659,0
31,178722,0
32,179232,0
33,186770,0
34,187714,0
35,194204,0
36,197161,0
37,201707,0
38,209108,0
39,210896,0
40,212031,0
41,214862,0
42,216439,0
43,223817,0
44,231283,0
45,232115,0
46,234882,0
47,237413,0
48,238741,0
49,246274,0
50,253783,0
51,261173,0
52,268624,0
53,273870,0
54,276147,0
55,279293,0
56,283523,0
57,291061,0
58,298533,0
59,306006,0
60,313500,0
61,314537,0
62,320942,0
63,328357,0
64,331908,0
65,335599,0
66,335939,0
67,343463,0
68,344807,0
69,351003,0
70,358452,0
71,365656,0
72,365874,0
73,372221,0
74,373356,0
75,375302,0
76,375346,0
77,377235,0
78,379301,0
79,380964,0
80,388510,0
81,396094,0
82,403611,0
83,403743,0
84,410880,0
85,418262,0
86,418393,0
87,423561,0
88,425741,0
89,433180,0
90,439358,0
91,440180,0
92,440788,0
93,448255,0
94,449572,0
95,451685,0
96,452290,0
97,464858,0
98,466124,0
99,471624,0
100,477047,0
101,515052,0
102,540346,0
103,542148,0
104,544587,0
105,548592,0
106,583105,0
107,583778,0
108,587013,0
109,592504,0
110,592859,0
111,600937,0
112,610923,0
113,623992,0
114,625780,0
115,629654,0
116,634912,0
117,685976,0
118,738516,0
119,758436,0
120,855471,0
121,873806,0
