n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,14979,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,60663.3,494238,14979,7.60445,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.457692,0,0.457692
2,30096,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,56050.2,456654,15117,15.279,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.461908,0,0.461908
2,30096,tf_resnet50,130000,86,64,J140,JJ2,14979,170236,0.00820137,57423.3,361924,15117,26.3256,14979,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,4.74506,0,4.74506
3,45068,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,51394.6,418723,14972,32.5279,0,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,4.69954,0,4.69954
3,45068,tf_resnet50,130000,86,64,J140,JJ2,14979,170236,0.00820137,42306.3,266645,14972,52.3986,14979,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,4.69954,0,4.69954
3,45068,pytorch_resnet50,130000,63,16,J46,JJ3,30096,403415,0.00898677,78756.1,363367,14972,15.3388,30096,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,4.69954,0,4.69954
4,59978,pytorch_alexnet,130000,952,1024,J20,JJ4,45068,748448,0.00377904,49145.6,364215,14910,9.09229,45068,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.455583,0,0.455583
4,59978,pytorch_resnet50,130000,63,16,J46,JJ3,30096,403415,0.00898677,66675.9,307631,14910,26.517,30096,0,n2,In-house server 3,Quadro P600,5,0.44,0,1.13896,0,1.13896
4,59978,tf_resnet50,130000,86,64,J140,JJ2,14979,170236,0.00820137,27334.3,172281,14910,57.4564,14979,0,n1,In-house server 3,Quadro P600,8,0.44,0,1.82233,0,1.82233
4,59978,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,40930.8,333473,14910,40.0973,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.227792,0,0.227792
5,75055,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,36338.9,296062,15077,47.4964,0,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.460686,0,0.460686
5,75055,pytorch_resnet50,130000,63,16,J46,JJ3,30096,403415,0.00898677,57872.3,267013,15077,36.9499,30096,0,n3,In-house server 3,Quadro P600,4,0.44,0,0.921372,0,0.921372
5,75055,pytorch_alexnet,130000,952,1024,J20,JJ4,45068,748448,0.00377904,44677.1,331099,15077,18.2864,45068,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.460686,0,0.460686
5,75055,tf_resnet50,130000,52,8,J141,JJ5,59978,209026,0.0132068,94687.4,403340,15077,11.416,59978,0,n1,Standard_NC6,K80,1,0.56,0,2.34531,0,2.34531
5,75055,tf_resnet50,130000,86,64,J140,JJ2,14979,170236,0.00820137,24429.9,153975,15077,62.5708,14979,0,n2,In-house server 3,Quadro P600,8,0.44,0,1.84274,0,1.84274
