slot_number,sim_time,VM_type,NodeID,cost/node
1,11340,"In-house server 1,","n1,",0.3465
2,22497,"Standard_NV6,In-house server 1,","n1,n2,",2.26239
3,33823,"Standard_NC6,In-house server 1,Standard_NV6,","n2,n3,n1,",4.05848
4,45119,"Standard_NV6,In-house server 3,","n1,n2,",2.73435
5,56421,"Standard_NC6,In-house server 3,","n1,n2,",2.79411
6,67996,"Standard_NV6,In-house server 3,","n2,n1,",3.23135
7,79257,"Standard_NC6,In-house server 3,","n2,n1,",3.12805
8,90674,"Standard_NC6,In-house server 3,","n2,n1,",3.17139
9,102077,"Standard_NC6,In-house server 1,In-house server 3,","n2,n3,n1,",3.86435
10,113370,"Standard_NV6,In-house server 3,","n2,n3,n1,",4.36036
11,124788,"Standard_NV6,In-house server 3,","n2,n3,n1,",4.7575
12,135916,"Standard_NC6,In-house server 3,","n4,n2,n3,n1,",5.47126
13,145937,"Standard_NC6,In-house server 2,In-house server 3,","n1,n4,n2,n3,",7.15378
14,147074,"In-house server 1,Standard_NC12,In-house server 3,","n1,n4,n2,n3,",0.848118
15,147142,"Standard_NV12,In-house server 2,In-house server 3,","n1,n4,n2,n3,",0.0610045
16,158438,"In-house server 3,In-house server 2,Standard_NV24,","n1,n4,n3,n2,",14.0891
17,163840,"Standard_NV12,In-house server 3,","n1,n4,n2,n3,",3.67627
18,169530,"Standard_NC6,In-house server 3,","n1,n4,n2,n3,",2.71072
19,178299,"Standard_NV12,In-house server 3,","n1,n4,n3,n2,",5.96765
20,180853,"Standard_NC6,In-house server 3,In-house server 2,","n1,n2,n3,n4,",1.82341
21,187660,"Standard_NV12,In-house server 3,","n1,n4,n3,n2,",4.73671
22,192093,"Standard_NV6,In-house server 3,","n1,n4,n2,n3,",2.18559
23,203499,"Standard_NC6,Standard_NV24,In-house server 3,","n1,n2,n3,n4,",12.4199
24,214729,"Standard_NV12,In-house server 3,","n1,n4,n3,n2,",7.64265
25,215848,"In-house server 3,Standard_NV24,","n1,n3,n2,n4,",1.37349
26,217369,"In-house server 3,Standard_NV24,","n1,n3,n2,n4,",1.5828
27,219738,"In-house server 3,Standard_NV24,","n1,n3,n2,n4,",2.50018
28,224559,"Standard_NC6,In-house server 3,","n4,n2,n3,n1,",2.51787
29,225868,"Standard_NC6,In-house server 3,","n1,n4,n2,n3,",0.66346
30,233759,"Standard_NV12,In-house server 3,","n1,n4,n2,n3,",5.49092
