slot_number,sim_time,VM_type,NodeID,cost/node
1,11114,"In-house server 1,","n1,",0.339594
2,22137,"In-house server 1,In-house server 2,","n1,n2,",2.18214
3,33317,"In-house server 2,In-house server 3,In-house server 1,","n1,n2,n3,",3.57966
4,44501,"In-house server 2,In-house server 3,","n2,n1,",2.69244
5,55527,"In-house server 2,In-house server 3,Standard_NC6,","n2,n3,n1,",4.36956
6,66785,"Standard_NC6,In-house server 2,In-house server 3,","n2,n3,n1,",4.37682
7,77845,"Standard_NC6,In-house server 2,In-house server 3,","n2,n3,n1,",4.29985
8,89142,"In-house server 3,In-house server 2,Standard_NC6,In-house server 1,","n1,n4,n2,n3,",4.86518
9,98727.5,"Standard_NC12,In-house server 3,In-house server 2,In-house server 1,","n1,n4,n2,n3,",5.57581
10,100461,"Standard_NV6,In-house server 3,In-house server 1,","n1,n3,n2,",0.436183
11,111717,"Standard_NC6,In-house server 1,In-house server 3,","n1,n3,n2,",2.22145
12,122749,"In-house server 3,Standard_NC6,In-house server 1,","n1,n3,n2,",3.03074
13,133968,"Standard_NC12,In-house server 1,In-house server 3,","n1,n2,n3,",4.76132
14,137233,"In-house server 1,In-house server 3,Standard_NC12,","n1,n3,n2,",1.37733
15,145125,"Standard_NV6,In-house server 3,Standard_NC6,In-house server 1,","n1,n4,n3,n2,",3.58251
16,156236,"Standard_NV6,In-house server 3,In-house server 1,Standard_NC6,","n1,n4,n3,n2,",5.58499
17,167368,"Standard_NC12,In-house server 3,In-house server 1,","n2,n3,n1,n4,",6.15611
18,178710,"In-house server 3,Standard_NC6,In-house server 1,","n1,n4,n3,n2,",4.63919
19,182335,"In-house server 1,In-house server 3,Standard_NC12,","n3,n2,n1,n4,",1.80483
20,189218,"In-house server 3,Standard_NC6,In-house server 1,","n3,n2,n4,n1,",2.71583
21,189941,"In-house server 3,Standard_NC6,In-house server 1,","n2,n3,n1,n4,",0.28576
22,197302,"In-house server 3,Standard_NV12,In-house server 1,","n1,n3,n2,n4,",4.38008
23,201359,"Standard_NC6,In-house server 1,In-house server 2,In-house server 3,","n3,n2,n1,n4,",2.32562
24,201751,"In-house server 3,In-house server 1,Standard_NV12,","n1,n2,n3,n4,",0.226328
25,212629,"In-house server 3,In-house server 1,Standard_NV12,","n4,n1,n3,n2,",6.00197
26,223583,"Standard_NV24,In-house server 3,In-house server 1,","n1,n4,n3,n2,",9.72757
27,231215,"In-house server 3,Standard_NV24,","n1,n4,n2,n3,",6.54596
28,234742,"Standard_NV24,In-house server 3,In-house server 1,","n3,n2,n4,n1,",2.93863
29,240414,"In-house server 3,Standard_NV12,","n3,n2,n1,n4,",2.99059
30,245834,"Standard_NV6,In-house server 3,","n2,n3,n4,n1,",2.20128
31,256997,"In-house server 1,Standard_NC12,In-house server 2,In-house server 3,","n4,n3,n2,n1,",7.99616
32,261705,"In-house server 3,In-house server 2,","n1,n3,n2,n4,",3.61654
33,265735,"In-house server 2,In-house server 3,In-house server 1,","n1,n3,n2,n4,",1.64542
34,268241,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n2,n3,n1,n4,",1.21495
35,279515,"In-house server 2,In-house server 3,Standard_NV12,In-house server 1,","n2,n3,n1,n4,",7.66826
36,284853,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n2,n3,n1,n4,",3.34424
37,290767,"Standard_NV12,In-house server 3,","n1,n4,n2,n3,",3.48269
38,302112,"In-house server 2,In-house server 3,","n1,n2,n3,n4,",5.83247
