slot_number,sim_time,tardiness
1,2318,0
2,4637,0
3,6955,0
4,9300,0
5,11718,0
6,14045,0
7,16466,0
8,18942,0
9,21303,0
10,23699,0
11,26053,0
12,28449,0
13,30848,0
14,33248,0
15,35594,0
16,38021,0
17,40344,0
18,42761,0
19,45089,0
20,47462,0
21,49826,0
22,52180,0
23,54579,0
24,54918.5,0
25,56893,0
26,59246,0
27,61613,0
28,63904,0
29,66286,0
30,68586,0
31,70952,0
32,73366,0
33,75809,0
34,78197,0
35,79761.4,0
36,80594,0
37,82955,0
38,84594.5,0
39,85311,0
40,85865.3,0
41,87650,0
42,90023,0
43,92383,0
44,94701,0
45,97123,0
46,99493,0
47,100730,0
48,101887,0
49,104220,0
50,106658,0
51,108530,0
52,109046,0
53,111369,0
54,111424,0
55,113873,0
56,116266,0
57,118615,0
58,119564,0
59,120962,0
60,122414,0
61,123330,0
62,125687,0
63,128020,0
64,130318,0
65,132602,0
66,135037,0
67,137357,0
68,137730,0
69,139718,0
70,142053,0
71,144416,0
72,144526,0
73,146871,0
74,149236,0
75,150452,0
76,151587,0
77,153942,0
78,156305,0
79,156847,0
80,158700,0
81,161009,0
82,161078,0
83,163419,0
84,163486,0
85,165792,0
86,166135,0
87,168199,0
88,169283,0
89,170660,0
90,172936,0
91,173847,0
92,175309,0
93,177750,0
94,180112,0
95,181630,0
96,182466,0
97,184771,0
98,185238,0
99,186423,0
100,187228,0
101,189637,0
102,191954,0
103,193117,0
104,194303,0
105,196662,0
106,197728,0
107,198970,0
108,200080,0
109,201354,0
110,201642,0
111,203746,0
112,206018,0
113,206316,0
114,208283,0
115,209011,0
116,210662,0
117,211126,0
118,213052,0
119,213261,0
120,215453,0
121,217145,0
122,217835,0
123,220212,0
124,222705,0
125,224084,0
126,224984,0
127,225444,0
128,227354,0
129,229632,0
130,231964,0
131,232803,0
132,234336,0
133,236803,0
134,237893,0
135,239077,0
136,241347,0
137,241417,0
138,243861,0
139,246235,0
140,246280,0
141,248004,0
142,248525,0
143,248680,0
144,250873,0
145,252482,0
146,253179,0
147,255558,0
148,256010,0
149,257941,0
150,260266,0
151,262622,0
152,264472,0
153,264969,0
154,267311,0
155,268735,0
156,269616,0
157,271960,0
158,273890,0
159,274415,0
160,276844,0
161,279233,0
162,281535,0
163,283939,0
164,286254,0
165,287924,0
166,288648,0
167,289071,0
168,291088,0
169,291095,0
170,293330,0
171,293462,0
172,295178,0
173,295807,0
174,298176,0
175,299797,0
176,300626,0
177,302507,0
178,302942,0
179,305349,0
180,306992,0
181,307796,0
182,310182,0
183,310267,0
184,311643,0
185,312511,0
186,314752,0
187,314882,0
188,317000,0
189,317281,0
190,317886,0
191,318647,0
192,319723,0
193,320444,0
194,322030,0
195,322720,0
196,322824,0
197,324393,0
198,326848,0
199,328695,0
200,328804,0
201,329235,0
202,331573,0
203,331769,0
204,333876,0
205,335274,0
206,336186,0
207,336765,0
208,337844,0
209,338488,0
210,339484,0
211,339488,0
212,340776,0
213,341431,0
214,342484,0
215,343218,0
216,345256,0
217,345635,0
218,348066,0
219,350459,0
220,350524,0
221,350920,0
222,352910,0
223,352977,0
224,353509,0
225,354997,0
226,355263,0
227,357591,0
228,358239,0
229,359025,0
230,359861,0
231,362103,0
232,362201,0
233,362224,0
234,363320,0
235,364512,0
236,364581,0
237,366672,0
238,366867,0
239,367023,0
240,369143,0
241,369893,0
242,371053,0
243,371506,0
244,373892,0
245,376046,0
246,376227,0
247,376989,0
248,378644,0
249,379416,0
250,381053,0
251,383376,0
252,384091,0
253,385758,0
254,388156,0
255,388735,0
256,390597,0
257,391667,0
258,392785,0
259,393001,0
260,395372,0
261,396283,0
262,397243,0
263,397803,0
264,400156,0
265,400198,0
266,402549,0
267,403276,0
268,404509,0
269,404885,0
270,407206,0
271,409655,0
272,412114,0
273,413036,0
274,414488,0
275,416187,0
276,416875,0
277,418873,0
278,419280,0
279,421658,0
280,421967,0
281,422522,0
282,424030,0
283,425743,0
284,426355,0
285,428726,0
286,429497,0
287,429710,0
288,431003,0
289,431149,0
290,433499,0
291,435818,0
292,438249,0
293,440606,0
294,442971,0
295,443891,0
296,445279,0
297,445538,0
298,447304,0
299,447432,0
300,447694,0
301,450103,0
302,452923,0
303,454470,0
304,457371,0
305,461581,0
306,461652,0
307,469766,0
308,470437,0
309,472897,0
310,476137,0
311,477988,0
312,480225,0
313,484129,0
314,497016,0
315,497360,0
316,501315,0
317,502455,0
318,502958,0
319,504309,0
320,508259,0
321,509179,0
322,513911,0
323,516769,0
324,516906,0
325,518359,0
326,518655,0
327,522966,0
328,524167,0
329,528852,0
330,531891,0
331,542438,0
332,545063,0
333,549051,0
334,554101,0
335,555874,0
336,562014,0
337,567495,0
338,571070,0
339,572901,0
340,573911,0
341,578149,0
342,579424,0
343,583812,0
344,584479,0
345,585311,0
346,585794,0
347,589835,0
348,591279,0
349,597806,0
350,603646,0
351,610523,0
352,611398,0
353,618281,0
354,618698,0
355,625461,0
356,627953,0
357,630177,0
358,637108,0
359,644572,0
360,647077,0
361,653607,0
362,657654,0
363,658947,0
364,660872,0
365,662852,0
366,667535,0
367,667690,0
368,676322,0
369,681046,0
370,684805,0
371,685058,0
372,686760,0
373,699642,0
374,709756,0
375,728773,0
376,759146,0
377,783603,0
378,812701,0
379,817887,0
380,958164,0
381,982858,0
