slot_number,sim_time,tardiness
1,11523,0
2,22688,0
3,33912,0
4,45277,0
5,54737.1,0
6,56583,0
7,67829,0
8,71851.9,0
9,79162,0
10,90349,0
11,96733.3,0
12,101648,0
13,112968,0
14,124349,0
15,133049,0
16,135597,0
17,144862,0
18,146710,0
19,157916,0
20,166190,0
21,169368,0
22,174243,0
23,180579,0
24,188575,0
25,191865,0
26,192334,0
27,203219,0
28,206501,0
29,214550,0
30,215021,0
31,225878,0
32,231827,0
33,248134,0
34,259727,0
35,283222,0
36,296993,0
37,351994,0
38,427429,0
39,441165,0
40,444930,0
41,768080,0
