slot_number,sim_time,VM_type,NodeID,cost/node
1,22650,"In-house server 1,","n1,",0.692083
2,45357,"Standard_NV6,In-house server 1,","n1,n2,",4.60447
3,67771,"Standard_NV6,In-house server 3,","n1,n2,",5.42561
4,90080,"In-house server 3,","n2,n1,",3.67882
5,99028.8,"In-house server 3,","n1,n2,",1.35416
6,109998,"In-house server 3,","n1,n2,",1.55293
7,112650,"In-house server 3,","n1,",0.189091
8,121182,"In-house server 3,","n1,n2,",1.25136
9,135191,"In-house server 1,In-house server 3,","n1,n2,",1.76928
10,157522,"In-house server 3,Standard_NV12,","n2,n1,",9.2514
11,177037,"In-house server 3,","n2,n1,",2.63502
12,179210,"In-house server 2,In-house server 3,","n1,n2,",0.834038
13,180002,"In-house server 2,In-house server 1,","n1,n2,",0.296848
14,202676,"In-house server 3,In-house server 2,","n1,n2,",9.13259
15,223655,"Standard_NV6,In-house server 3,","n2,n1,",5.47777
16,225429,"In-house server 3,","n1,n2,",0.346974
17,241294,"In-house server 3,","n1,n2,",2.74706
18,291237,"In-house server 3,","n2,n1,",9.5922
19,316076,"In-house server 3,In-house server 1,","n2,n1,",4.5537
20,319717,"In-house server 1,In-house server 2,","n1,n2,",0.720802
21,385571,"In-house server 2,","n1,",11.0245
