n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,2663,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,70558.1,574933,2663,1.16236,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.0813694,0,0.0813694
2,5380,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,69738,568250,2717,2.34829,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.0830194,0,0.0830194
2,5380,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,43269.4,7.08002e+06,2717,0.230538,2663,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.0830194,0,0.0830194
3,7985,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,68901.2,561432,2605,3.48533,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.0795972,0,0.0795972
3,7985,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,43169.6,7.06369e+06,2605,0.451573,2663,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.0795972,0,0.0795972
3,7985,pytorch_vgg19,130000,8111,32,J82,JJ3,5380,1.41579e+08,0.00437808,43200.5,1.81844e+08,2605,6.03002,5380,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,0.467246,0,0.467246
4,10561,pytorch_vgg19,130000,8111,32,J82,JJ3,5380,1.41579e+08,0.00437808,40595.5,1.70879e+08,2576,11.9929,5380,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,0.462044,0,0.462044
4,10561,tf_alexnet,130000,343,256,J90,JJ4,7985,384273,0.00685291,60663.3,494238,2576,1.26417,7985,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.104948,0,0.104948
4,10561,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,43074,7.04804e+06,2576,0.670147,2663,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0524741,0,0.0524741
4,10561,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,68099,554895,2576,4.60972,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0524741,0,0.0524741
5,13161,pytorch_vgg19,130000,8111,32,J82,JJ3,5380,1.41579e+08,0.00437808,38019.5,1.60036e+08,2600,18.0114,5380,0,n3,In-house server 2,GTX 1080Ti,8,1.13,0,0.435259,0,0.435259
5,13161,pytorch_alexnet,130000,1497,1024,J32,JJ5,10561,516742,0.0133105,77052.1,572518,2600,1.00909,10561,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0706173,0,0.0706173
5,13161,tf_alexnet,130000,343,256,J90,JJ4,7985,384273,0.00685291,59896.4,487990,2600,2.58413,7985,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0353086,0,0.0353086
5,13161,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,42979.4,7.03257e+06,2600,2.49771,2663,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,0.816111,0,0.816111
5,13161,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,67305.6,548430,2600,5.70675,0,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0706173,0,0.0706173
6,15837,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,42188.6,6.90318e+06,2676,2.72477,2663,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0272556,0,0.0272556
6,15837,pytorch_alexnet,130000,1497,1024,J32,JJ5,10561,516742,0.0133105,76274.5,566740,2676,2.04768,10561,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0545111,0,0.0545111
6,15837,tf_alexnet,130000,343,256,J90,JJ4,7985,384273,0.00685291,59095.7,481466,2676,3.89738,7985,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0545111,0,0.0545111
6,15837,tf_resnet50,130000,50,8,J133,JJ6,13161,342665,0.0136955,91048.9,387815,2676,2.10724,13161,0,n2,Standard_NC6,K80,1,0.56,0,0.416267,0,0.416267
6,15837,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,66531.6,542123,2676,6.83586,0,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0545111,0,0.0545111
6,15837,pytorch_vgg19,130000,8111,32,J82,JJ3,5380,1.41579e+08,0.00437808,35419.5,1.49091e+08,2676,24.2057,5380,0,n3,In-house server 2,GTX 1080Ti,8,1.13,0,0.479981,0,0.479981
7,18393,pytorch_resnet50,130000,3629,32,J55,JJ7,15837,3.34657e+07,0.00711637,43207.5,1.98738e+07,2556,0.25882,15837,0,n3,In-house server 3,Quadro P600,7,0.44,0,0.3124,0,0.3124
7,18393,tf_resnet50,130000,50,8,J133,JJ6,13161,342665,0.0136955,89130.3,379643,2556,4.43272,13161,0,n2,Standard_NV6,M60,1,0.62,0,0.4402,0,0.4402
7,18393,tf_alexnet,130000,343,256,J90,JJ4,7985,384273,0.00685291,58299,474975,2556,5.15174,7985,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.06248,0,0.06248
7,18393,pytorch_alexnet,130000,1497,1024,J32,JJ5,10561,516742,0.0133105,75474.3,560794,2556,3.0397,10561,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.06248,0,0.06248
7,18393,pytorch_vgg19,130000,149,8,J65,JJ2,2663,7.20855e+06,0.0108931,42090.4,6.8871e+06,2556,2.94164,2663,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.03124,0,0.03124
7,18393,pytorch_vgg19,130000,8111,32,J82,JJ3,5380,1.41579e+08,0.00437808,32743.5,1.37827e+08,2556,30.1223,5380,0,n4,In-house server 2,GTX 1080Ti,8,1.13,0,0.458457,0,0.458457
7,18393,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,65734.9,535631,2556,7.95151,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.03124,0,0.03124
