slot_number,sim_time,tardiness
1,866,0
2,1847,0
3,2834,0
4,3760,0
5,4721,0
6,5680,0
7,6586,0
8,7489,0
9,8513,0
10,9396,0
11,10303,0
12,11254,0
13,12211,0
14,13201,0
15,14124,0
16,15128,0
17,16067,0
18,17087,0
19,18050,0
20,18979,0
21,19910,0
22,20846,0
23,21804,0
24,22742,0
25,23705,0
26,24695,0
27,25645,0
28,26616,0
29,27553,0
30,28471,0
31,29350,0
32,30272,0
33,31233,0
34,32172,0
35,33172,0
36,34147,0
37,35071,0
38,36021,0
39,36977,0
40,37914,0
41,38830,0
42,39767,0
43,40698,0
44,41643,0
45,42567,0
46,43480,0
47,44413,0
48,45323,0
49,46284,0
50,47213,0
51,48148,0
52,49069,0
53,50019,0
54,50976,0
55,51931,0
56,52855,0
57,53752,0
58,54458.4,0
59,54665,0
60,55590,0
61,56516,0
62,57455,0
63,58382,0
64,59323,0
65,60293,0
66,61271,0
67,62050.9,0
68,62200,0
69,63156,0
70,64046,0
71,64962,0
72,65908,0
73,66846,0
74,67733,0
75,68655,0
76,69542.1,0
77,69579,0
78,70475,0
79,71435,0
80,72351,0
81,73313,0
82,74229,0
83,75125,0
84,75339.9,0
85,76025,0
86,76944,0
87,77582,0
88,77964,0
89,78903,0
90,79921,0
91,80849,0
92,81767,0
93,82665,0
94,83255.8,0
95,83602,0
96,84596,0
97,85514,0
98,86435,0
99,87415,0
100,88378,0
101,89191.5,0
102,89287,0
103,90199,0
104,91153,0
105,92062,0
106,92944,0
107,93846,0
108,94761,0
109,95717,0
110,96675,0
111,97619,0
112,97807.1,0
113,98547,0
114,99522,0
115,100475,0
116,101447,0
117,101815,0
118,102370,0
119,103306,0
120,103501,0
121,104189,0
122,105139,0
123,106094,0
124,107046,0
125,107952,0
126,108914,0
127,109842,0
128,109881,0
129,110791,0
130,111717,0
131,112674,0
132,113588,0
133,114468,0
134,115409,0
135,115784,0
136,116287,0
137,117251,0
138,118200,0
139,119114,0
140,119862,0
141,120031,0
142,120978,0
143,121023,0
144,121946,0
145,122760,0
146,122913,0
147,123825,0
148,124747,0
149,125675,0
150,125728,0
151,126630,0
152,127507,0
153,128457,0
154,128637,0
155,129412,0
156,129832,0
157,130328,0
158,131303,0
159,131674,0
160,132245,0
161,132296,0
162,133143,0
163,134089,0
164,135028,0
165,135156,0
166,135992,0
167,136766,0
168,136899,0
169,137832,0
170,138610,0
171,138707,0
172,139682,0
173,139988,0
174,140459,0
175,140600,0
176,141511,0
177,142474,0
178,142961,0
179,143418,0
180,144203,0
181,144369,0
182,145266,0
183,145642,0
184,146247,0
185,146473,0
186,147130,0
187,147401,0
188,148090,0
189,148222,0
190,149052,0
191,149205,0
192,149981,0
193,150031,0
194,150950,0
195,151317,0
196,151962,0
197,152854,0
198,153790,0
199,154209,0
200,154699,0
201,155677,0
202,156075,0
203,156585,0
204,157510,0
205,157565,0
206,158423,0
207,159341,0
208,160289,0
209,161197,0
210,161255,0
211,162191,0
212,163199,0
213,163476,0
214,164120,0
215,165084,0
216,165705,0
217,166059,0
218,167021,0
219,167963,0
220,168611,0
221,168873,0
222,169827,0
223,170745,0
224,171647,0
225,172608,0
226,173524,0
227,174482,0
228,174904,0
229,175455,0
230,176393,0
231,176583,0
232,176883,0
233,177319,0
234,178258,0
235,179203,0
236,179517,0
237,180078,0
238,180152,0
239,181062,0
240,181213,0
241,181802,0
242,182001,0
243,182136,0
244,182891,0
245,182953,0
246,183839,0
247,184532,0
248,184788,0
249,185677,0
250,185730,0
251,186693,0
252,186707,0
253,186932,0
254,186977,0
255,187683,0
256,188653,0
257,188914,0
258,189241,0
259,189585,0
260,189993,0
261,190520,0
262,190857,0
263,191347,0
264,191445,0
265,192378,0
266,192724,0
267,193325,0
268,193793,0
269,193971,0
270,194296,0
271,195242,0
272,196198,0
273,197133,0
274,198040,0
275,198756,0
276,198961,0
277,199884,0
278,200823,0
279,200913,0
280,201285,0
281,201784,0
282,202275,0
283,202709,0
284,202947,0
285,203662,0
286,204624,0
287,205078,0
288,205563,0
289,206476,0
290,207275,0
291,207405,0
292,208072,0
293,208352,0
294,208877,0
295,209338,0
296,210242,0
297,210263,0
298,210630,0
299,211154,0
300,211241,0
301,211707,0
302,212060,0
303,212367,0
304,212962,0
305,213871,0
306,214083,0
307,214388,0
308,214607,0
309,214791,0
310,215351,0
311,215399,0
312,215763,0
313,216687,0
314,216820,0
315,217302,0
316,217644,0
317,218241,0
318,218598,0
319,219428,0
320,219585,0
321,220217,0
322,220381,0
323,220506,0
324,221514,0
325,221742,0
326,222409,0
327,222452,0
328,223094,0
329,223388,0
330,224089,0
331,224299,0
332,224985,0
333,225239,0
334,226162,0
335,226352,0
336,226599,0
337,226631,0
338,226767,0
339,227117,0
340,227670,0
341,227825,0
342,227991,0
343,228034,0
344,228450,0
345,228915,0
346,229871,0
347,230180,0
348,230802,0
349,231189,0
350,231748,0
351,232630,0
352,232703,0
353,233653,0
354,234558,0
355,235090,0
356,235445,0
357,236387,0
358,236644,0
359,237349,0
360,238251,0
361,238941,0
362,239165,0
363,240095,0
364,241057,0
365,241718,0
366,241993,0
