slot_number,sim_time,tardiness
1,1510,0
2,2996,0
3,4470,0
4,5961,0
5,7443,0
6,8930,0
7,10435,0
8,11978,0
9,13492,0
10,15001,0
11,16515,0
12,18050,0
13,19572,0
14,21070,0
15,22592,0
16,24051,0
17,25542,0
18,27030,0
19,28559,0
20,30067,0
21,31555,0
22,32991,0
23,34522,0
24,36063,0
25,37575,0
26,39053,0
27,40575,0
28,42130,0
29,43629,0
30,45145,0
31,46196.5,0
32,46610,0
33,48153,0
34,49624,0
35,51092,0
36,52137.5,0
37,52583,0
38,54044,0
39,55192.4,0
40,55547,0
41,57063,0
42,58523,0
43,60025,0
44,61548,0
45,63115,0
46,64568,0
47,66079,0
48,67522,0
49,69026,0
50,70519,0
51,72099,0
52,73271.4,0
53,73577,0
54,75097,0
55,76577,0
56,78049,0
57,78657.9,0
58,79632,0
59,81144,0
60,82625,0
61,84123,0
62,85601,0
63,87076,0
64,87645.7,0
65,88605,0
66,90138,0
67,90686.2,0
68,91656,0
69,93153,0
70,94300.6,0
71,94679,0
72,96217,0
73,96656.2,0
74,97706,0
75,99191,0
76,99710.9,0
77,100680,0
78,102254,0
79,102961,0
80,103764,0
81,104812,0
82,105213,0
83,106688,0
84,107522,0
85,108123,0
86,109387,0
87,109635,0
88,111101,0
89,112594,0
90,114070,0
91,115304,0
92,115679,0
93,117173,0
94,118297,0
95,118606,0
96,120083,0
97,121549,0
98,123084,0
99,124517,0
100,125735,0
101,126002,0
102,126920,0
103,127479,0
104,128334,0
105,128965,0
106,130476,0
107,132016,0
108,133510,0
109,134121,0
110,134867,0
111,134980,0
112,136464,0
113,137881,0
114,137890,0
115,139387,0
116,140834,0
117,141035,0
118,141634,0
119,142363,0
120,143776,0
121,143824,0
122,144858,0
123,145355,0
124,145458,0
125,146843,0
126,148362,0
127,149164,0
128,149783,0
129,149892,0
130,150592,0
131,151291,0
132,151332,0
133,152805,0
134,152998,0
135,154310,0
136,154332,0
137,154430,0
138,155757,0
139,155788,0
140,155801,0
141,156597,0
142,157228,0
143,158711,0
144,159321,0
145,159583,0
146,160187,0
147,160387,0
148,161607,0
149,163071,0
150,163893,0
151,164515,0
152,166068,0
153,167548,0
154,169020,0
155,170164,0
156,170415,0
157,170561,0
158,171886,0
159,172019,0
160,173558,0
161,175035,0
162,176328,0
163,176528,0
164,177683,0
165,178080,0
166,178343,0
167,179598,0
168,181047,0
169,182530,0
170,182680,0
171,184014,0
172,185576,0
173,185578,0
174,187089,0
175,188618,0
176,188793,0
177,190045,0
178,190175,0
179,191726,0
180,192559,0
181,192987,0
182,193261,0
183,194464,0
184,194759,0
185,195565,0
186,196253,0
187,197712,0
188,198141,0
189,199150,0
190,199202,0
191,200048,0
192,200433,0
193,200692,0
194,201447,0
195,202189,0
196,203320,0
197,203648,0
198,205154,0
199,206575,0
200,208042,0
201,209005,0
202,209281,0
203,209608,0
204,211084,0
205,212596,0
206,214107,0
207,214536,0
208,214939,0
209,215348,0
210,215580,0
211,217087,0
212,218597,0
213,219732,0
214,220124,0
215,221538,0
216,221800,0
217,223109,0
218,224645,0
219,225944,0
220,226187,0
221,226937,0
222,227721,0
223,228770,0
224,229103,0
225,229211,0
226,230300,0
227,230758,0
228,232224,0
229,232610,0
230,233380,0
231,233701,0
232,233856,0
233,235260,0
234,236699,0
235,238209,0
236,239166,0
237,239464,0
238,239684,0
239,241215,0
240,242479,0
241,242717,0
