slot_number,sim_time,VM_type,NodeID,cost/node
381,303626,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n18,n31,n33,n3,n19,n6,n1,n2,n8,n24,n27,n26,n35,n32,n28,n4,n34,n36,n7,n25,n14,n10,n22,n5,n37,n12,n30,n9,n11,n13,n17,n15,n23,n16,n29,n21,",0.232218
382,304228,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n3,n19,n6,n1,n26,n35,n33,n24,n27,n7,n25,n2,n8,n36,n4,n34,n18,n31,n32,n28,n14,n22,n10,n5,n12,n30,n9,n11,n13,n17,n15,n23,n16,n29,n21,",4.12873
383,305197,"Standard_NV24X,In-house server 2,In-house server 3,","n20,n3,n19,n6,n1,n26,n35,n33,n24,n27,n7,n25,n2,n8,n36,n4,n34,n18,n31,n32,n28,n14,n22,n10,n5,n12,n30,n9,n11,n13,n17,n15,n23,n16,n29,n21,",6.72326
384,305451,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n19,n6,n1,n2,n8,n26,n35,n33,n24,n27,n7,n25,n21,n29,n36,n4,n34,n18,n31,n32,n28,n14,n22,n10,n5,n12,n30,n9,n11,n13,n17,n15,n23,n16,n3,n20,",1.74484
385,306720,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n26,n17,n33,n19,n6,n1,n2,n8,n24,n27,n32,n28,n4,n34,n36,n7,n25,n21,n29,n31,n18,n13,n11,n37,n12,n30,n9,n22,n10,n5,n14,n15,n23,n16,n3,n20,n35,",8.83575
386,307929,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n26,n33,n19,n17,n6,n1,n24,n27,n32,n28,n4,n34,n36,n7,n25,n21,n29,n5,n22,n14,n10,n2,n8,n31,n18,n13,n11,n30,n9,n37,n12,n15,n23,n16,n3,n20,n35,",8.41361
387,309141,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n26,n19,n17,n28,n32,n34,n4,n6,n13,n11,n24,n27,n7,n25,n21,n29,n5,n22,n14,n10,n2,n8,n35,n33,n31,n18,n30,n9,n37,n12,n15,n23,n16,n3,n20,n1,n36,",8.20217
388,310009,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n19,n17,n28,n32,n34,n4,n6,n1,n26,n35,n24,n27,n7,n25,n21,n29,n5,n22,n14,n10,n2,n8,n33,n31,n18,n13,n11,n30,n9,n37,n12,n15,n23,n16,n3,n20,n36,",5.87121
389,310326,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n26,n17,n1,n19,n28,n32,n6,n34,n4,n24,n27,n7,n25,n21,n29,n5,n22,n14,n10,n2,n8,n35,n33,n31,n18,n13,n11,n30,n9,n12,n37,n15,n23,n16,n3,n20,n36,",2.14699
390,310825,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n17,n1,n35,n19,n33,n6,n2,n8,n28,n32,n24,n27,n36,n4,n34,n21,n29,n7,n25,n5,n22,n14,n10,n13,n11,n31,n18,n30,n9,n26,n15,n23,n16,n3,n20,n12,n37,",3.45775
