n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,11444,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,44571.3,368373,11444,7.95647,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.349678,0,0.349678
2,22658,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,41025,339064,11214,15.753,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.34265,0,0.34265
2,22658,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,71843.9,598714,11214,13.6807,11444,0,n1,Standard_NV6,M60,1,0.62,0,1.9313,0,1.9313
3,34033,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,62015.1,516806,11375,26.1619,11444,0,n3,Standard_NC6,K80,1,0.56,0,1.76944,0,1.76944
3,34033,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,48952.6,390266,11375,20.2984,22658,0,n1,Standard_NV6,M60,1,0.62,0,1.95903,0,1.95903
3,34033,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,37550,310343,11375,23.3667,0,0,n2,In-house server 1,Quadro P600,2,0.11,0,0.347569,0,0.347569
4,45428,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,58474,483260,11395,6.03833,34033,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.464241,0,0.464241
4,45428,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,34156.5,282297,11395,31.2891,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.464241,0,0.464241
4,45428,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,53048.1,442079,11395,40.0634,11444,0,n1,Standard_NV6,M60,1,0.62,0,1.96247,0,1.96247
4,45428,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,39016,311048,11395,27.4008,22658,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.464241,0,0.464241
5,56764,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,35539.2,283330,11336,34.4665,22658,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.346378,0,0.346378
5,56764,tf_vgg19,130000,14,32,J176,JJ5,45428,973281,0.00573196,45374.5,685012,11336,2.51729,45428,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.346378,0,0.346378
5,56764,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,54943.2,454079,11336,12.0454,34033,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.346378,0,0.346378
5,56764,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,43060.7,358849,11336,53.893,11444,0,n1,Standard_NV6,M60,1,0.62,0,1.95231,0,1.95231
5,56764,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,30625.4,253113,11336,39.1704,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.346378,0,0.346378
6,68085,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,51430.6,425049,11321,17.8208,34033,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.345919,0,0.345919
6,68085,tf_vgg19,130000,14,32,J176,JJ5,45428,973281,0.00573196,44232.2,667768,11321,5.03124,45428,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.17296,0,0.17296
6,68085,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,27112.5,224080,11321,46.7479,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.345919,0,0.345919
6,68085,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,33125.1,276049,11321,67.7042,11444,0,n1,Standard_NV6,M60,1,0.62,0,1.94973,0,1.94973
6,68085,tf_alexnet,130000,339,512,J119,JJ6,56764,264871,0.0111425,54156,447591,11321,6.23645,56764,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.345919,0,0.345919
6,68085,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,32080.3,255755,11321,41.5229,22658,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.17296,0,0.17296
7,79306,tf_vgg19,130000,14,32,J176,JJ5,45428,973281,0.00573196,43091.6,650547,11221,7.52299,45428,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.195922,0,0.195922
7,79306,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,23202.6,193360,11221,72.3662,11444,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.391844,0,0.391844
7,79306,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,28626.1,228216,11221,48.5169,22658,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.195922,0,0.195922
7,79306,tf_resnet50,130000,60,16,J126,JJ7,68085,226721,0.0148885,71039.9,342376,11221,10.3213,68085,0,n2,Standard_NV6,M60,1,0.62,0,1.93251,0,1.93251
7,79306,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,48053.5,397139,11221,23.7669,34033,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.195922,0,0.195922
7,79306,tf_alexnet,130000,339,512,J119,JJ6,56764,264871,0.0111425,50778.6,419677,11221,12.6572,56764,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.195922,0,0.195922
7,79306,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,23735.1,196166,11221,54.5493,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.195922,0,0.195922
8,90460,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,44576.6,368404,11154,29.4571,34033,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.340817,0,0.340817
8,90460,tf_vgg19,130000,14,32,J176,JJ5,45428,973281,0.00573196,41960.9,633478,11154,9.99986,45428,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.170408,0,0.170408
8,90460,tf_resnet50,130000,60,16,J126,JJ7,68085,226721,0.0148885,63707.7,307039,11154,19.3839,68085,0,n2,Standard_NC6,K80,1,0.56,0,1.73507,0,1.73507
8,90460,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,25202.3,200921,11154,55.4691,22658,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.170408,0,0.170408
8,90460,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,19853.2,165447,11154,77.1918,11444,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.170408,0,0.170408
8,90460,tf_alexnet,130000,339,512,J119,JJ6,56764,264871,0.0111425,47301.4,390939,11154,19.0396,56764,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.170408,0,0.170408
8,90460,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,20257.9,167428,11154,62.015,0,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.340817,0,0.340817
8,90460,tf_alexnet,130000,370,1024,J108,JJ8,79306,741393,0.00541212,55949.6,466232,11154,5.95416,79306,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.340817,0,0.340817
9,101483,tf_vgg19,130000,14,32,J176,JJ5,45428,973281,0.00573196,40837.1,616511,11023,12.4476,45428,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.168407,0,0.168407
9,101483,tf_alexnet,130000,366,512,J95,JJ4,34033,709273,0.0147667,41249.3,340905,11023,35.0805,34033,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.336814,0,0.336814
9,101483,tf_alexnet,130000,370,1024,J108,JJ8,79306,741393,0.00541212,52618.3,438472,11023,12.0811,79306,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.168407,0,0.168407
9,101483,tf_resnet50,130000,60,16,J126,JJ7,68085,226721,0.0148885,57269.6,276010,11023,29.523,68085,0,n2,Standard_NV6,M60,1,0.62,0,1.89841,0,1.89841
9,101483,tf_alexnet,130000,232,128,J113,JJ3,22658,166946,0.0110549,21799,173789,11023,62.1517,22658,0,n1,In-house server 1,Quadro P600,2,0.11,0,0.0842035,0,0.0842035
9,101483,tf_alexnet,130000,475,1024,J92,JJ2,11444,154132,0.00498911,16386.3,136556,11023,81.7716,11444,0,n1,In-house server 1,Quadro P600,2,0.11,0,0.0842035,0,0.0842035
9,101483,tf_alexnet,130000,339,512,J119,JJ6,56764,264871,0.0111425,43844.9,362371,11023,25.3471,56764,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.168407,0,0.168407
