slot_number,sim_time,tardiness
1,15125,0
2,30172,0
3,45027,0
4,60007,0
5,75051,0
6,90002,0
7,104663,0
8,105016,0
9,119956,0
10,134931,0
11,138916,0
12,149879,0
13,164792,0
14,179801,0
15,181421,0
16,194733,0
17,206730,0
18,209631,0
19,224625,0
20,231536,0
21,239590,0
22,254452,0
23,269517,0
24,284431,0
25,284517,0
26,285218,0
27,299433,0
28,304081,0
29,314395,0
30,322930,0
31,329530,0
32,344487,0
33,359549,0
34,365976,0
35,371797,0
36,374461,0
37,389340,0
38,401966,0
39,404288,0
40,414664,0
41,419311,0
42,430194,0
43,434476,0
44,449530,0
45,472648,0
46,501714,0
47,502125,0
48,509973,0
49,521663,0
50,524737,0
51,547013,0
52,586569,0
53,597012,0
54,622003,0
55,636282,0
56,652882,0
57,656558,0
58,664762,0
59,711134,0
60,792500,0
61,868207,0
