slot_number,sim_time,tardiness
1,2641,0
2,5328,0
3,7947,0
4,10640,0
5,13267,0
6,15839,0
7,18489,0
8,21097,0
9,23778,0
10,26502,0
11,29116,0
12,31778,0
13,34474,0
14,37192,0
15,39907,0
16,42517,0
17,45210,0
18,47963,0
19,50621,0
20,53258,0
21,55954,0
22,58604,0
23,61296,0
24,63929,0
25,66608,0
26,69279,0
27,72003,0
28,72278.3,0
29,72323.1,0
30,74503,0
31,74982.4,0
32,77105,0
33,79813,0
34,81755,0
35,82365,0
36,84967,0
37,87660,0
38,90291,0
39,92370.2,0
40,92915,0
41,95553,0
42,96519,0
43,98166,0
44,100901,0
45,103617,0
46,104499,0
47,106245,0
48,108955,0
49,111688,0
50,112488,0
51,114292,0
52,116996,0
53,119627,0
54,122173,0
55,124840,0
56,127432,0
57,130040,0
58,132653,0
59,133497,0
60,135340,0
61,137999,0
62,140650,0
63,141668,0
64,143244,0
65,143833,0
66,144688,0
67,145899,0
68,146184,0
69,146671,0
70,148565,0
71,151184,0
72,153771,0
73,156390,0
74,158978,0
75,160203,0
76,161711,0
77,164324,0
78,166906,0
79,168867,0
80,169512,0
81,170688,0
82,172175,0
83,173244,0
84,174814,0
85,175856,0
86,177418,0
87,180013,0
88,180069,0
89,182661,0
90,183914,0
91,185311,0
92,187896,0
93,188028,0
94,190499,0
95,193096,0
96,195750,0
97,196189,0
98,196658,0
99,198399,0
100,198447,0
101,201122,0
102,202729,0
103,203764,0
104,204911,0
105,206459,0
106,209109,0
107,211746,0
108,214422,0
109,217095,0
110,218878,0
111,219773,0
112,222451,0
113,224645,0
114,225001,0
115,226923,0
116,227635,0
117,230081,0
118,230237,0
119,232967,0
120,235607,0
121,238305,0
122,240921,0
123,242361,0
124,243602,0
125,244333,0
126,246269,0
127,246975,0
128,248651,0
129,248937,0
130,249554,0
131,249659,0
132,251582,0
133,251913,0
134,254184,0
135,256426,0
136,256877,0
137,257079,0
138,259455,0
139,259739,0
140,262083,0
141,264557,0
142,264807,0
143,265938,0
144,267403,0
145,270100,0
146,270517,0
147,272726,0
148,275389,0
149,278004,0
150,280581,0
151,283277,0
152,285399,0
153,285905,0
154,286864,0
155,286877,0
156,288210,0
157,288495,0
158,291152,0
159,291637,0
160,293777,0
161,294388,0
162,296443,0
163,297384,0
164,299069,0
165,300174,0
166,300226,0
167,301782,0
168,302068,0
169,302669,0
170,304349,0
171,304917,0
172,306208,0
173,307007,0
174,307819,0
175,308789,0
176,309221,0
177,309720,0
178,312398,0
179,313212,0
180,315009,0
181,317652,0
182,320383,0
183,321215,0
184,322764,0
185,323009,0
186,325732,0
187,328359,0
188,330555,0
189,331054,0
190,331567,0
191,332492,0
192,333658,0
193,335956,0
194,336250,0
195,337061,0
196,339010,0
197,340239,0
198,341213,0
199,341600,0
200,342840,0
201,344269,0
202,344810,0
203,344996,0
204,346504,0
205,346943,0
206,349571,0
207,349819,0
208,352082,0
209,353960,0
210,354392,0
211,354796,0
212,355113,0
213,357410,0
214,359978,0
215,360570,0
216,362587,0
217,365084,0
218,365339,0
219,366159,0
220,366223,0
221,366344,0
222,367979,0
223,369254,0
224,370457,0
225,370645,0
226,373274,0
227,376000,0
228,378578,0
229,381252,0
230,382318,0
231,383951,0
232,384397,0
233,386564,0
234,388993,0
235,389237,0
236,390674,0
237,391932,0
238,394617,0
239,397261,0
240,397829,0
241,398003,0
242,399924,0
243,402452,0
244,404982,0
245,407365,0
246,407626,0
247,410371,0
248,411563,0
249,412934,0
250,413066,0
251,413858,0
252,415645,0
253,416273,0
254,418251,0
255,420794,0
256,422270,0
257,423399,0
258,424318,0
259,426062,0
260,426364,0
261,428669,0
262,431284,0
263,432884,0
264,433111,0
265,434042,0
266,435132,0
267,436741,0
268,438414,0
269,439395,0
270,442056,0
271,443018,0
272,443462,0
273,444553,0
274,445075,0
275,447080,0
276,447281,0
277,450026,0
278,454118,0
279,455182,0
280,455474,0
281,457679,0
282,459977,0
283,470469,0
284,473804,0
285,474375,0
286,474479,0
287,477255,0
288,480018,0
289,487406,0
290,488439,0
291,491542,0
292,496510,0
293,500581,0
294,502203,0
295,502306,0
296,502429,0
297,504643,0
298,505262,0
299,505690,0
300,508682,0
301,520015,0
302,521276,0
303,522738,0
304,522991,0
305,524552,0
306,528293,0
307,536199,0
308,539289,0
309,552844,0
310,558739,0
311,561264,0
312,562889,0
313,564627,0
314,570673,0
315,573511,0
316,579816,0
317,582789,0
318,585127,0
319,597090,0
320,605862,0
321,610363,0
322,611289,0
323,611384,0
324,632405,0
325,636256,0
326,640561,0
327,647676,0
328,655269,0
329,657976,0
330,663181,0
331,668937,0
332,674867,0
333,681980,0
334,702886,0
335,763956,0
336,770172,0
337,793125,0
338,800832,0
339,843004,0
340,854648,0
341,994549,0
