slot_number,sim_time,VM_type,NodeID,cost/node
1,3437,"In-house server 1,","n1,",0.105019
2,6906,"In-house server 1,In-house server 2,","n1,n2,",1.19488
3,10335,"In-house server 1,In-house server 2,","n2,n3,n1,",2.25741
4,13825,"In-house server 1,In-house server 2,","n2,n3,n1,",2.40422
5,17274,"In-house server 3,In-house server 2,","n1,n3,n2,",2.37597
6,20792,"In-house server 2,In-house server 3,Standard_NV6,","n4,n3,n2,n1,",3.04893
7,24240,"In-house server 2,In-house server 3,Standard_NV6,","n5,n1,n4,n3,n2,",3.40969
8,27780,"Standard_NV6,In-house server 3,In-house server 2,","n5,n1,n4,n2,n3,",3.48101
9,31279,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n1,n6,n4,n5,n3,n2,",3.6448
10,34701,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n1,n2,n6,n5,n7,n4,n3,",4.63872
11,38211,"Standard_NV12,In-house server 1,In-house server 3,In-house server 2,","n2,n6,n5,n4,n7,n1,n3,",5.3625
12,41733,"In-house server 3,In-house server 2,","n6,n1,n2,n3,n5,n7,n4,",5.5126
13,45276,"In-house server 3,In-house server 2,","n2,n6,n8,n1,n4,n7,n5,n3,",6.65757
14,48790,"Standard_NV6,In-house server 2,In-house server 3,","n2,n6,n8,n5,n4,n7,n1,n9,n3,",7.20828
15,50106.5,"Standard_NV12,In-house server 2,In-house server 3,","n1,n2,n5,n4,n7,n9,n3,n8,n6,",2.81391
16,52228,"Standard_NV12,In-house server 3,In-house server 2,","n1,n5,n4,n7,n8,n6,n3,n2,",3.86859
17,55734,"Standard_NV12,In-house server 3,In-house server 2,","n1,n2,n4,n7,n5,n8,n6,n3,",6.33202
18,59241,"Standard_NV24,In-house server 3,In-house server 2,","n1,n2,n3,n8,n6,n7,n5,n4,",7.84381
19,62801,"Standard_NV24,In-house server 3,In-house server 2,","n2,n3,n6,n8,n1,n7,n5,n4,",7.61198
