slot_number,sim_time,VM_type,NodeID,cost/node
1,9135,"In-house server 1,","n1,",0.279125
2,18040,"Standard_NV6,In-house server 1,","n1,n2,",1.80574
3,27161,"Standard_NV12,In-house server 1,","n1,n2,",3.42038
4,36138,"Standard_NV6,In-house server 3,","n1,n2,",2.20435
5,45167,"In-house server 3,Standard_NV12,","n2,n1,",3.77211
6,54178,"In-house server 3,Standard_NV12,","n2,n1,",3.73312
7,63105,"In-house server 3,Standard_NV24,","n2,n1,",6.77317
8,71991,"In-house server 3,Standard_NV12,","n1,n2,",3.65314
9,81054,"Standard_NV12,In-house server 3,","n2,n1,",3.71815
10,89995,"Standard_NV12,In-house server 1,In-house server 3,","n2,n3,n1,",3.9357
11,98993,"Standard_NV12,In-house server 3,","n1,n3,n2,",4.57899
12,107253,"In-house server 3,Standard_NV12,","n4,n3,n2,n1,",5.21295
13,107974,"Standard_NV6,In-house server 3,","n1,n4,n2,n3,",0.330878
14,116876,"Standard_NV6,In-house server 2,In-house server 3,","n4,n2,n3,n5,n1,",6.87926
15,125903,"Standard_NV12,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",8.53051
16,134868,"Standard_NV12,In-house server 2,In-house server 3,","n2,n3,n1,n5,n4,",8.46425
17,135771,"Standard_NV12,In-house server 2,In-house server 3,","n2,n3,n1,n5,n4,",0.844277
18,142060,"Standard_NV12,In-house server 2,In-house server 3,","n1,n4,n2,n3,",5.16454
19,142200,"Standard_NV6,In-house server 2,In-house server 3,","n2,n3,n1,n5,n4,",0.103194
20,143767,"Standard_NV6,In-house server 2,In-house server 3,","n2,n3,n4,n1,",0.959597
21,143833,"Standard_NV6,In-house server 2,In-house server 3,","n2,n3,n4,n1,",0.0408877
22,151178,"Standard_NV6,In-house server 2,In-house server 3,","n2,n3,n4,n1,",4.58833
23,152785,"Standard_NV6,In-house server 3,","n2,n3,n1,",0.499247
24,161485,"Standard_NV6,In-house server 3,","n1,n3,n2,",2.6731
25,161955,"Standard_NV6,In-house server 3,","n2,n3,n1,",0.144667
26,170885,"Standard_NV6,In-house server 3,","n4,n2,n3,n1,",3.85943
27,179818,"In-house server 1,In-house server 3,Standard_NV6,","n5,n1,n4,n2,n3,",4.3763
28,188641,"Standard_NV6,In-house server 3,","n5,n1,n4,n2,n3,",4.69985
29,197632,"Standard_NV6,In-house server 3,","n2,n3,n1,n5,n4,",4.67944
30,206362,"Standard_NV6,In-house server 3,","n2,n3,n1,n5,n4,",4.58476
31,206647,"In-house server 3,","n1,n4,n2,n3,",0.0859768
32,207065,"In-house server 3,In-house server 2,","n2,n3,n1,n5,n4,",0.257548
33,215808,"In-house server 3,In-house server 2,In-house server 1,","n2,n3,n1,n5,n4,",5.00974
34,215872,"In-house server 3,In-house server 2,","n2,n3,n1,n5,n4,",0.0394902
35,216783,"In-house server 3,In-house server 2,In-house server 1,","n2,n3,n1,n5,n4,",0.522025
36,219928,"In-house server 3,In-house server 2,","n1,n4,n2,n3,",1.60418
37,224756,"In-house server 3,In-house server 2,","n1,n4,n2,n3,",2.54375
38,233761,"In-house server 3,In-house server 2,","n1,n4,n2,n3,",4.63472
39,242841,"In-house server 3,In-house server 2,","n2,n3,n1,n5,n4,",5.7831
40,243015,"In-house server 3,In-house server 2,","n2,n3,n1,n5,n4,",0.112083
41,249850,"In-house server 3,In-house server 2,","n2,n3,n1,n5,n4,",4.39107
42,251835,"In-house server 3,","n1,n4,n2,n3,",0.652138
43,255032,"Standard_NV6,In-house server 3,","n2,n3,n1,n5,n4,",1.60127
44,261058,"Standard_NV6,In-house server 3,","n2,n3,n1,n5,n4,",3.05772
45,270224,"Standard_NV6,In-house server 3,","n4,n1,n5,n2,n3,",4.53935
46,276970,"Standard_NV6,In-house server 3,","n4,n1,n5,n2,n3,",3.44376
47,279276,"Standard_NV6,In-house server 3,","n1,n2,n3,n4,",0.895546
48,287792,"Standard_NV6,In-house server 2,In-house server 3,","n4,n1,n5,n2,n3,",4.95169
49,288078,"Standard_NV6,In-house server 2,In-house server 3,","n4,n1,n5,n2,n3,",0.169323
50,297196,"Standard_NV12,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",6.96888
51,306156,"Standard_NV12,In-house server 3,","n4,n1,n5,n2,n3,",6.04823
52,315139,"Standard_NV12,In-house server 3,","n4,n1,n5,n2,n3,",6.06376
53,322020,"Standard_NV12,In-house server 3,","n4,n1,n5,n2,n3,",4.6206
54,324003,"Standard_NV6,In-house server 3,","n2,n3,n1,n5,n4,",0.990305
55,333113,"In-house server 3,Standard_NV24X,","n3,n2,n4,n1,n5,",10.2155
56,337322,"In-house server 3,","n3,n2,n1,n5,n4,",1.91055
57,342198,"In-house server 3,","n2,n3,n1,n5,n4,",2.16834
58,351155,"In-house server 2,In-house server 3,","n4,n1,n5,n2,n3,",6.16871
59,353268,"In-house server 2,In-house server 3,","n4,n1,n5,n2,n3,",1.45512
60,360116,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",4.42141
61,365352,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",3.3563
62,369186,"In-house server 2,In-house server 3,","n2,n3,n4,n5,n1,",2.45737
63,378021,"In-house server 3,Standard_NV24,","n2,n3,n1,n5,n4,",8.1067
64,382793,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",3.05874
65,387027,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",2.71391
66,396017,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",11.7824
67,397751,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",2.27242
68,401424,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",4.81404
69,405093,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",4.79154
70,409890,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",3.05243
71,414078,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",2.66493
72,422931,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",5.63336
73,431195,"In-house server 2,In-house server 3,","n3,n2,n1,n5,n4,",5.25882
74,431926,"Standard_NV24X,In-house server 3,","n3,n2,n1,n5,n4,",0.788055
75,441170,"Standard_NV24X,In-house server 2,In-house server 3,","n2,n3,n1,n5,n4,",12.0722
76,450150,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n1,n5,n2,n3,",11.279
77,450167,"In-house server 2,In-house server 3,Standard_NV24X,","n2,n3,n4,n1,n5,",0.0212352
